mint,token_class,trade_events_5m,priceable_events_5m,sol_priceable_events_5m,quote_priceable_events_5m,unavailable_events_5m,quote_mints,old_sol_unpriceable,quote_rescued,path_conflict_seen,quote_flow_mint_conflict,price_identity,first_price_proxy,current_price_proxy,return_from_t0_bps,drawdown_from_high_bps,strategy_v01_flow_compatible,sol_buy_volume_lamports,sol_sell_volume_lamports,quote_buy_volume_raw,quote_sell_volume_raw,quote_flow_mint
25bzbsbEnX2oFQ4A5yTghXnL6UtF5ZuoNgria1qKpump,SOL_ONLY,28,28,28,0,0,,False,False,False,False,SOL_NATIVE,0.000155610733608634947068752361455288249911072874898152761508624,0.000185298299832237463690720404122291052258194570931519930772372,1908,0,True,15076521027,8609997365,15076521027,8609997365,11111111111111111111111111111111
25nSThMwQUW96tyw32MzUNKKEpFWVPTn2fzsEiqapump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000282627668696100961782383255047166602053618553574463081414006,0.0000282627668696100961782383255047166602053618553574463081414006,0,0,True,162534128,0,162534128,0,11111111111111111111111111111111
25xyhS4CoqSnMQVgApv9CErgV9UgJ3scGiWUM6XLpump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000336195575161627204489989845233521651347946874182161989352993,0.0000341112053641640291612877946859830914934003090676382134824193,146,0,True,488888889,0,488888889,0,11111111111111111111111111111111
261a3rQQd1cCvYfhXE9KdgsoqbigFjeQHX5LgRsrpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000282112017982707327947852123353741749308845219885680030678520,0.0000282112017982707327947852123353741749308845219885680030678520,0,0,True,135005988,0,135005988,0,11111111111111111111111111111111
269p2C24vNUB3NEkJsQcUUcKQz2Pee2Fg4GpuEa8pump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000374894151888050956923571016294037686002892831999498330958430,0.0000349599152669342012445794242648033637236841559305659325492190,-675,-675,True,0,1958971923,0,1958971923,11111111111111111111111111111111
28ASAfhWnTP9LqYYvyd1CyNm2yaCJfF1YVwzmMh1pump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000338898676918297025287096136494856555170904685574986350464464,0.0000340908172067952346309192798107944226345064219755500451496118,59,0,True,3126777777,0,3126777777,0,11111111111111111111111111111111
28WZVsZJxhMRQbeoEWKyUvo1Xdin9qyNVnRAYHLPpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589935219012115563839701770736253494874184529356943150047,0.0000279589935219012115563839701770736253494874184529356943150047,0,0,True,0,1926912,0,1926912,11111111111111111111111111111111
28azdhuyttWsy1Cxdp1BLsMWU1YXan2BMjdQD7nPpump,SOL_ONLY,24,24,24,0,0,,False,False,False,False,SOL_NATIVE,0.00000149395421872691506560821952000115310683231670859795584605336,5.40800380455455878661108300078407734510613312304565994792959E-8,-9638,-9718,True,102246141,146166038,102246141,146166038,11111111111111111111111111111111
2965ex9UjjD6piAZaecyGo3HitPBzWPZjLRPbBwhpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589934771668219944082013047530288909599254426840633737185,0.0000279589934771668219944082013047530288909599254426840633737185,0,0,True,0,9999,0,9999,11111111111111111111111111111111
297YndZP9ZwUUkJShXKMTRevtRt25JCwRZdPQ8hfpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589934846225535880708294501397949673811742777260018639329,0.0000279589934846225535880708294501397949673811742777260018639329,0,0,True,0,740624999,0,740624999,11111111111111111111111111111111
