mint,parameter_set_id,time_segment,first_tradable_observed_at_us,first_tradable_event_at_us,gap_event_count,market_events_available,market_events_processed,transition_count,response_failed_new_low_count,furthest_setup_stage,final_classification,last_reason,clock_expired,impulse_age_ms,impulse_return_bps,impulse_trade_count,impulse_unique_buyers,impulse_3s_buys,impulse_3s_net_flow_lamports,impulse_peak_age_ms,impulse_peak_return_bps,pullback_active_age_ms,impulse_to_pullback_ms,pullback_depth_at_activation_bps,deepest_pullback_depth_bps,pullback_low_age_ms,pullback_low_depth_at_response_bps,response_age_ms,pullback_to_response_ms,response_rebound_bps,response_window_buys,response_window_sells,response_window_net_flow_lamports,response_window_price_change_bps,response_10s_buys,response_10s_sells,response_10s_net_flow_lamports,candidate_age_ms,response_to_candidate_ms,candidate_return_from_t0_bps,candidate_drawdown_from_high_bps,reclaim_extension_bps,runaway_reject_age_ms
ADWtiF1roQR2LXkV7UB3pBRXuh5hCWfp6zF8tRvLStxo,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077223203697,1787076771000000,0,7,7,6,0,WAITING_FOR_RESPONSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,2291,2704,2,2,2,4785640524,2291,2704,31867,29576,1665,2554,241841,,,,,,,,,,,,,,,,,
24ciaAuJ9gYHFiBGo9umfXTLcnZv2DGZ29qW2uZWpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077218471561,1787076770000000,0,22,19,6,0,WAITING_FOR_RESPONSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,3,642,2,2,2,1996376184,2237,1988,128345,128342,1071,1747,174040,,,,,,,,,,,,,,,,,
8YBBhovjGX1EpZ6jJqKHamhqn3c6SBc2dmmGwX43pump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077212884611,1787076769000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4YQchgMod9WqHCVJmbduGr4vG5QrLXJqfrsTTmkapump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077212810324,1787076769000000,0,12,12,6,0,WAITING_FOR_RESPONSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,11,719,2,2,2,3130000000,5622,1608,256924,256913,1252,2429,256950,,,,,,,,,,,,,,,,,
99Eqt9f1pDiBfaRQJUpxMcbLMHgyGtSLj5Nbgmj7HSzo,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077210054368,1787076769000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3z1aun6tqmGGD75w23DLcQawy655xMgPJTgmRy2cpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077201839475,1787076769000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN8cnxehow6suzvczfM2ZzangFMRSxFQUL4Yt36gpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077195350679,1787076768000000,0,2,2,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J3BLJyPNMV1YHtqn81wUjTq4KsB3mFD8WKez44EJpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077192904630,1787076767000000,0,2,2,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYocWZxfrGyqAXmLAatXws6zb56pbY2gZUa3KqVpQEk2,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077186209268,1787076767000000,0,9,9,5,0,PULLBACK_ACTIVE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,98,2012,2,2,2,3825858486,98,2012,32238,32140,2104,2104,32238,,,,,,,,,,,,,,,,,
3NDr1uLVdeNQKpdHasDC3SpQb1A2w3QEQ9x9fwSNpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077180022098,1787076767000000,0,2,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
