mint,events_available,states_in_entry_window,has_observation_after_entry_window,gap_event_count,first_trade_pump_timestamp_delta_ms,max_return_from_t0_bps,max_drawdown_depth_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_total_volume_since_t0_lamports,max_3s_buys,max_3s_sells,max_3s_net_flow_lamports,max_3s_price_change_bps,max_10s_trades,max_10s_volume_lamports
8aM5uquSuunJFo25zafzHr72AF4BTbWiz78rwYqpump,1,1,False,0,245663,0,0,1,1,314456620,1,0,314456620,0,1,314456620
3S27EpFcXVMghvMxsBNKYsZ4sKug1pUsmY1fBXrBpump,1,1,False,0,244025,0,0,1,1,12813241,1,0,12813241,0,1,12813241
FW4v33A3x7GTTDZBQxozWfPkxnJ3eowM3cye7uLNpump,1,1,False,0,241933,,0,1,0,0,0,1,0,,1,0
Di1EMmx93SbFcWymKJAiW3h8PfSss7XbzDrH6Epgpump,1,1,False,0,241719,0,0,1,0,740624999,0,1,-740624999,0,1,740624999
7VPDdPcjYp3h49sqMHtMtCppxqDhg8dDB1n5XLdppump,14,5,True,0,240468,1819,0,5,5,2979964672,3,0,2448504797,1159,4,2937393685
34x9M7rcmv9ycDA8LdcX8cfmR7THWKPxX1zUxXX1pump,3,1,True,0,235336,0,0,1,0,220493920,0,1,-220493920,0,1,220493920
7G5QwVrFkRu4QmDB3nAkqjxJFsBx9WYwm1eGBGmMpump,1,1,False,0,221566,0,0,1,1,491851851,1,0,491851851,0,1,491851851
Au9ZAJ7nR3xtB9MXiUy57X4Z1x9RnyJGK5jkXMropump,9,6,True,0,211689,926,0,6,6,2235328764,2,0,1536918132,645,3,2025807020
EoD9acf25KrHhJb7ime8nr3NyqDnf1stUMk3pyDZEmtS,11,9,True,0,209342,117,4896,9,5,26275879087,1,2,11851851851,1357,3,11998518517
AssE3k56q7kSPZSSnrtxXpnDvDn4n5MuwCAhARVopump,8,7,False,0,209231,113,2692,7,4,11074593140,1,1,4938271604,499,2,4938271604
BW7SPidghGfjYSCkVEGXTm2stHAhPLgm3sv9kVtBpump,4,3,True,0,205920,0,22,3,1,183221657,1,1,133109895,0,1,133109895
BxaBbACnyDobzDzAGSDx6AwzoCexk4vx1SdpK6C5pump,1,1,False,0,198703,0,0,1,0,294007399,0,1,-294007399,0,1,294007399
2wmaWULyFCsfSuBreB2z6Rvqqqqj2CfyamaVJjV6pump,1,1,False,0,193341,0,0,1,1,69701854,1,0,69701854,0,1,69701854
