mint,event_key,signature,event_type,observed_at_utc,observed_at_us,source_decoded_file,diagnosis,sol_amount_lamports,quote_amount_raw,virtual_sol_reserves,virtual_token_reserves,virtual_quote_reserves,real_sol_reserves,real_token_reserves,real_quote_reserves,quote_mint,ix_name,full_current_tail_decoded
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,iATgtYaLv4HM4Euivx4S1rxJ3ZfXzcmEys9T9WD86wxWifNAy23GbnJeTWzkonKaythCLzBj8PfYvWzuA5r1SHD:0:bddb7fd34ee661ee,iATgtYaLv4HM4Euivx4S1rxJ3ZfXzcmEys9T9WD86wxWifNAy23GbnJeTWzkonKaythCLzBj8PfYvWzuA5r1SHD,BUY,2026-08-18T18:18:33.633469+00:00,1787077113633469,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,178545867,0,946193902908547,1645518599,0,666293902908547,226455335,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,4fSCC5dDN5trhoNoR3coX6wbY3PCBWB5eApFrC3rwHEqT6oBPLtKTtkWWfrPtcRupux7giZnkMJ7VXJexdb6hYBJ:0:bddb7fd34ee661ee,4fSCC5dDN5trhoNoR3coX6wbY3PCBWB5eApFrC3rwHEqT6oBPLtKTtkWWfrPtcRupux7giZnkMJ7VXJexdb6hYBJ,BUY,2026-08-18T18:18:58.113306+00:00,1787077138113306,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,62750773,0,911436855929543,2034920143,0,631536855929543,289206108,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,28dcXC2EjA7Yg1BB1owwMKrWtR5FiPGEz62ZPLNTgLadJuGpdsCU7gK9M5yNQZU9diywEUw6aGyVftWLMcUvMid5:0:bddb7fd34ee661ee,28dcXC2EjA7Yg1BB1owwMKrWtR5FiPGEz62ZPLNTgLadJuGpdsCU7gK9M5yNQZU9diywEUw6aGyVftWLMcUvMid5,BUY,2026-08-18T18:19:03.310874+00:00,1787077143310874,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,12609386,0,905823916546611,2112423226,0,625923916546611,301815494,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,mfDVhxP125km6oKUueiy2itUtUwq32SWG2XqLo7UtE4Pph4JfcsxDFu1HeKXz1z66q1sd2AiAkatVPYJh9kGDbT:0:bddb7fd34ee661ee,mfDVhxP125km6oKUueiy2itUtUwq32SWG2XqLo7UtE4Pph4JfcsxDFu1HeKXz1z66q1sd2AiAkatVPYJh9kGDbT,BUY,2026-08-18T18:19:10.684585+00:00,1787077150684585,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,18652197,0,897895709991184,2226144304,0,617995709991184,320467691,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,5hu4xW8cqdY3Tj5X2TpCX6jjeayWeuFmu1Lkgoyn6oZDD86kfXKn4ushaGNwJVL8rzMG42q3Dbdsy1zzRQLcRwbr:0:bddb7fd34ee661ee,5hu4xW8cqdY3Tj5X2TpCX6jjeayWeuFmu1Lkgoyn6oZDD86kfXKn4ushaGNwJVL8rzMG42q3Dbdsy1zzRQLcRwbr,SELL,2026-08-18T18:19:10.752728+00:00,1787077150752728,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,10434413,0,902124158582128,2215709891,0,622224158582128,310033278,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,iW8yvNKE8RmGscQXCp8tMmo85mMBk2z6St3WvGgj7WBv5hHUWdgjAEirxVRvex33H23aucss6uUHnRZS9Nnn2e7:0:bddb7fd34ee661ee,iW8yvNKE8RmGscQXCp8tMmo85mMBk2z6St3WvGgj7WBv5hHUWdgjAEirxVRvex33H23aucss6uUHnRZS9Nnn2e7,BUY,2026-08-18T18:19:18.190755+00:00,1787077158190755,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,118959768,0,856157706669573,2931519071,0,576257706669573,428993046,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,5PAa9NHYjyxgL9nrN5Vv6zXxkBhsPC9PrTGjM3LUuL6Hk9WZ3tEjSL6wdHvwiUNFvPAMfYaP7PukcqB1vDT3sbxZ:0:bddb7fd34ee661ee,5PAa9NHYjyxgL9nrN5Vv6zXxkBhsPC9PrTGjM3LUuL6Hk9WZ3tEjSL6wdHvwiUNFvPAMfYaP7PukcqB1vDT3sbxZ,BUY,2026-08-18T18:19:25.808774+00:00,1787077165808774,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,70826751,0,835960543417200,3346730292,0,556060543417200,499819797,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2sBJancmpYpLDfLx3KAqQD3tyNSCjav3Sfc5FTY7mMKuQzKGiWdrraDbMsJf9x7SqMgPxovz4HipGFmEdcq69pTr:0:bddb7fd34ee661ee,2sBJancmpYpLDfLx3KAqQD3tyNSCjav3Sfc5FTY7mMKuQzKGiWdrraDbMsJf9x7SqMgPxovz4HipGFmEdcq69pTr,BUY,2026-08-18T18:19:38.029448+00:00,1787077178029448,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,102413076,0,811138933663231,3930623462,0,531238933663231,602232873,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,3sqoUSGTe7equLsMcuwKYAayqGCxEnYCmrjvyQf5rzwsUucSgh6JsuAKaUS3zL7pC9R88KQnRQ1ccyAG64tkfia8:0:bddb7fd34ee661ee,3sqoUSGTe7equLsMcuwKYAayqGCxEnYCmrjvyQf5rzwsUucSgh6JsuAKaUS3zL7pC9R88KQnRQ1ccyAG64tkfia8,SELL,2026-08-18T18:19:46.048462+00:00,1787077186048462,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,100151325,0,832346930195332,3349512641,0,552446930195332,502081548,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2GZswmtrTjdhLYjaDYdbdY2VajmF3YyBSd5fL9GWt8DwTW6HBHAPtg83oQHJJ6tdNprn16U1UdYX9As1XzNHsBG8:0:bddb7fd34ee661ee,2GZswmtrTjdhLYjaDYdbdY2VajmF3YyBSd5fL9GWt8DwTW6HBHAPtg83oQHJJ6tdNprn16U1UdYX9As1XzNHsBG8,SELL,2026-08-18T18:19:49.675655+00:00,1787077189675655,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,22857288,0,838065945841487,3326655353,0,558165945841487,479224260,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,uC7nsuy9mviTAGkr4e54DGuEy9yCwL5fYM7P7xMYeDyoU769J2YqbVPLYy7ga7xi8BpGUL4HybLq6s2oQGmfmJp:0:bddb7fd34ee661ee,uC7nsuy9mviTAGkr4e54DGuEy9yCwL5fYM7P7xMYeDyoU769J2YqbVPLYy7ga7xi8BpGUL4HybLq6s2oQGmfmJp,SELL,2026-08-18T18:19:52.943535+00:00,1787077192943535,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,250443381,0,906295336786907,3076211972,0,626395336786907,228780879,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
