mint,t0_observed_at_us,t0_observed_at_utc,trade_events_5m,root_class,quote_candidate_events,unresolved_events,diagnosis_counts_json,quote_mints_json,ix_names_json,tail_decode_json
2yJiDwF96ubSNj3iess9z8sVenQQia2Ka7fSuoFUpump,1787074285390661,2026-08-18T17:31:25.390661+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy"":1}","{""True"":1}"
E389bNEBPBuNkovrFf6LuvY4LTuEjD8d9qwY8TaCpump,1787074201943234,2026-08-18T17:30:01.943234+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy_exact_quote_in"":1}","{""True"":1}"
sHhR1nBVjY9ku3py7H4c1NGfG7oq6DME2r4PWGFpump,1787074165320247,2026-08-18T17:29:25.320247+00:00,2,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,2,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":2}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":2}","{""buy_exact_quote_in"":2}","{""True"":2}"
C1Qzvsh3T8ktt6nUrxSjg7qn7mi1e26A23dR37Rxpump,1787074079037114,2026-08-18T17:27:59.037114+00:00,59,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,59,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":59}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":59}","{""buy"":24,""buy_exact_quote_in"":12,""sell"":23}","{""True"":59}"
JCxuvz1A9s7RqEjxfs9pQPBrrFeQoKuVXH3iP5t9pump,1787074077117681,2026-08-18T17:27:57.117681+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
3EdDwu74B9NCBGkXmtGA9voyJ8uQr2dYTBFMbXxzpump,1787071631382765,2026-08-18T16:47:11.382765+00:00,6,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,6,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":6}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":6}","{""buy"":5,""sell"":1}","{""True"":6}"
B7PKCAUcUEfMBXfAe1LdkT3c9rMDKqRvZDoZKM2Tpump,1787071594631992,2026-08-18T16:46:34.631992+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy_exact_quote_in"":1}","{""True"":1}"
HDW9avXEHYh7dsuPGJN3mgohfKXpNmjDAFxxiyS3pump,1787071387504330,2026-08-18T16:43:07.504330+00:00,9,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,9,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":9}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":9}","{""buy"":4,""buy_exact_quote_in"":2,""sell"":3}","{""True"":9}"
BkKhEMnJtB4xQrG3w7ud9H8c7JM5mM6UwRU4NmmUpump,1787071128815143,2026-08-18T16:38:48.815143+00:00,7,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,7,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":7}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":7}","{""buy"":4,""buy_exact_quote_in"":1,""sell"":2}","{""True"":7}"
EnYscH1m4u3Kiftn9AZHkJnFqMN9B8PsPsmXW8Rbpump,1787070494501112,2026-08-18T16:28:14.501112+00:00,2,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,2,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":2}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":2}","{""buy"":2}","{""True"":2}"
