mint,first_tradable_observed_at_us,first_tradable_observed_at_utc
2AuVf8pvAqqq7LGqYg4H1JsLjrSy198yQEt3rwn5pump,1787064046034277,2026-08-18T14:40:46.034277+00:00
2BQRTS9oQ3JaVVWuL8v2pV81iBxHU9DzLgMhHHufpump,1787067260421839,2026-08-18T15:34:20.421839+00:00
2BRi28Sem2iDQexhAisj7AFvE49xNV4VXLAZPdw8pump,1787067302281947,2026-08-18T15:35:02.281947+00:00
2BfkNAvxhGoR5njN9wfJiyer79fKhbDzkTyKPEa8pump,1787065321326542,2026-08-18T15:02:01.326542+00:00
2BtGyv45VEBnzxEQKgxQpGx9u4zZdzHxKNQXdhsypump,1787066841724918,2026-08-18T15:27:21.724918+00:00
2C6NBJszGUgiDDSwAzzvWT8kPDBv3aaC2Vh2GZqApump,1787074364011666,2026-08-18T17:32:44.011666+00:00
2C7fvHayPvAcWsSXbqU1R71epx2zLDwQAZoGVC3R9Mar,1787067342585068,2026-08-18T15:35:42.585068+00:00
2C9GDTkVdZreyPGGh8W11UmFPfzhohtiSLGAfccJS8gt,1787066542671667,2026-08-18T15:22:22.671667+00:00
2DKyG8vxUCBQvtU88bKYyo4EnaSSCj3hPfZ8X9z4pump,1787064106251649,2026-08-18T14:41:46.251649+00:00
2DVqPwXwS6DghFa9UYvHMaJN8Gq9ysPNQdhPDNmGpump,1787075407704314,2026-08-18T17:50:07.704314+00:00
2DjMaVtvEp1U56HysTsKH7DEsJWAZ7xk2nffgygvpump,1787075282163883,2026-08-18T17:48:02.163883+00:00
2DzaY8JsyKVs8ziDPFLxRkGgoFTqxmNuwKRtYXcwpump,1787074544410553,2026-08-18T17:35:44.410553+00:00
2F6EXXSJPWmFcT5WZMgMwtVwPEzyoeqELLBeGkt19yaq,1787077638274675,2026-08-18T18:27:18.274675+00:00
2FSpXwxfEmrruzHAZsBfMDjNcStzbXSMT7Uz1L7qpump,1787067870041277,2026-08-18T15:44:30.041277+00:00
2FYVhwF6f7tUDkTQMDMKuntqAR1dxQX6x9Hjj2eHpump,1787071453626803,2026-08-18T16:44:13.626803+00:00
2FfEbufT5Her6bRG13ihhH1Zhy2GM3K43GsBBxPKpump,1787074425612397,2026-08-18T17:33:45.612397+00:00
2G2nzP4dZGo31btdopbpiQFfKFV1pDi1Hpb64FE2EE6h,1787075330807385,2026-08-18T17:48:50.807385+00:00
2GDL7x24mCSf9orxDv3xU3YynwY1VrRX3MHQPJGqpump,1787068483373810,2026-08-18T15:54:43.373810+00:00
2GUmrjdzU6KsGTfMNAYh7DdBgxvs1hdXpVtLeY5EamW6,1787065429091812,2026-08-18T15:03:49.091812+00:00
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,1787077410132685,2026-08-18T18:23:30.132685+00:00
2Gkzxen3c9afxdX4Ace4zPskQwFNjG3nUvXoy22spump,1787070642629272,2026-08-18T16:30:42.629272+00:00
2HFphJeTZtSfgkYQL5A8VfzciFtYKvSp4YY4tjMRpump,1787070367301661,2026-08-18T16:26:07.301661+00:00
2HHq1bqn6emXu4Ey4RNYuDZ1xu94nEWXUL9dJinXpump,1787075337892007,2026-08-18T17:48:57.892007+00:00
2J6L3s8jKtDop27TdjvWJXUim7mrybBiTvqtWB34pump,1787064492634018,2026-08-18T14:48:12.634018+00:00
2JNacJJ6Jq3HtzXbeCDYz89X4YVcPo5h83iVoUYrpump,1787069724147999,2026-08-18T16:15:24.147999+00:00
2JQC3ic6D4f3bxxUZX3F6YLXoupDEb6bGvPcQvaDpump,1787071474452792,2026-08-18T16:44:34.452792+00:00
2JbGQU9hj6taNRqPHGvniJ7tD2MSNVyuqFbWYSMfpump,1787075924515153,2026-08-18T17:58:44.515153+00:00
2JcYgBQpD4T6KwNrywwzUpBka6pBeEEJsXPcYys7pump,1787071461957410,2026-08-18T16:44:21.957410+00:00
2Jix9meKSd22kmGupFcDP9pZhhGRK5DGFi6QbpZfpump,1787068303021993,2026-08-18T15:51:43.021993+00:00
2JjukK53nwk8ChyEg8MQncAikcswKAfAYwRLezzfpump,1787066115510141,2026-08-18T15:15:15.510141+00:00
2Jzrq2qEXJkkBTckPNuvF5EDbRYFF17dUxKuUqjppump,1787067594799511,2026-08-18T15:39:54.799511+00:00
2K9N5Ehbni3mjQsrRjE4TKPP35bM1LkHVjp4xGNSpump,1787064686746544,2026-08-18T14:51:26.746544+00:00
2KDxw2HMzzJsVSBruPzgQHMsGppSrRbvitJ4EQJ4pump,1787064683117267,2026-08-18T14:51:23.117267+00:00
2KMhxpWcmvH46csq91C8UYCPqotXQqhP5umJVXuxpump,1787067953606856,2026-08-18T15:45:53.606856+00:00
2KY9yt4y7DGQS78RfEJXDuc4t9NHmaLKskL71L1R5N4Y,1787070350708088,2026-08-18T16:25:50.708088+00:00
2LjXcHzemgaBLvCDscATTZgXdwGQtfdtwLumgfZu9Ts6,1787065452356702,2026-08-18T15:04:12.356702+00:00
2LsVezXHQJR9HbDaCeokSW57N66H94tp77gdBKpApump,1787071539503731,2026-08-18T16:45:39.503731+00:00
2LvJkFsmty9MvfvcjvGd5ThevMUoMaH9CKChcftdpump,1787064228047890,2026-08-18T14:43:48.047890+00:00
2M2bh7Hb7cRhT972jrEvVJyjEJAcWz57VjXbchzqpump,1787071703552738,2026-08-18T16:48:23.552738+00:00
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,1787074362549194,2026-08-18T17:32:42.549194+00:00
2McG85HREWiJPYQc9Wp1MFbYgLGXvHVaoCTu33vSpump,1787070567796806,2026-08-18T16:29:27.796806+00:00
2NEKYBCdnDkCmA2GvRUx7UMKzSXQR76qvFiJkQmjpump,1787075371745784,2026-08-18T17:49:31.745784+00:00
2NHvuf6gN9nQy57VkJgk9ppxj8tKx4AHXCTcNPDwpump,1787069567046205,2026-08-18T16:12:47.046205+00:00
2NwBvfxqB5aLoXSvXeAb6KGE4Eje6jHAHKuXH5TEpump,1787064134519291,2026-08-18T14:42:14.519291+00:00
2PPbVpUibgpk3Z77vctnGFy7XmjekEKZDJK2kfSSpump,1787074573725467,2026-08-18T17:36:13.725467+00:00
2PU518aBvGP5utsCPk7q2RUh7ttTd9PUeuoeBWUopump,1787069048791079,2026-08-18T16:04:08.791079+00:00
2PfDWTwoxAGePS3aY7Y3vV2FhaJoCQVuQrBtVgSvpump,1787074725799485,2026-08-18T17:38:45.799485+00:00
2PmSh2PePhFx7hrYm3qdisAkUf6nR8chXkvc9hXHpump,1787069961567561,2026-08-18T16:19:21.567561+00:00
2Po6dkhpraPgfWYq5w7uGdDv8imfL4jMCmxc3bVSpump,1787064278608610,2026-08-18T14:44:38.608610+00:00
2Ps3zK9Gt48qTyJ7uQgmCACrp5QkfLdRccxwkNvdpump,1787068906464710,2026-08-18T16:01:46.464710+00:00
2QRCvcDVa9VPisBNGMoHYRSb7XHS1UdQZGbAEXrfpump,1787075156903750,2026-08-18T17:45:56.903750+00:00
2QUfcqAK5wEzjUDVDqHBqb4zgPkm36rQCEwMDtu4pump,1787070614895280,2026-08-18T16:30:14.895280+00:00
2QhCAuKx8Ni13CFYKbUNNh8JQRtS3Gd1h4x7n6Fppump,1787074311446238,2026-08-18T17:31:51.446238+00:00
2R55S36qufETgM9FMbGgX99R77NYKCTvcQvAS2nypump,1787070820169560,2026-08-18T16:33:40.169560+00:00
2RJwhPNmop21MB1eD2CnFUeqithiHR8vF4eVLSvtpump,1787074077409682,2026-08-18T17:27:57.409682+00:00
2RWuyLjvyqfSUvH6H86keTYrw46fDgDnKnv3MsdYpump,1787063193828702,2026-08-18T14:26:33.828702+00:00
2RbqmaKBqqE7pZJ8Muo5by5rUb75Q36cSw3CUmoupump,1787066729716355,2026-08-18T15:25:29.716355+00:00
2RmJ1phKAfZDaawiej3kDjR8EjfegUiNhyXZsMe6pump,1787064017238159,2026-08-18T14:40:17.238159+00:00
