candidate_id,mint,signal_at,price_identity,mfe_bps_5m,mae_bps_5m,extrema_complete_5m,extrema_coverage_status_5m,5s_status,5s_return_bps,5s_mark_age_ms,5s_coverage_status,15s_status,15s_return_bps,15s_mark_age_ms,15s_coverage_status,30s_status,30s_return_bps,30s_mark_age_ms,30s_coverage_status,60s_status,60s_return_bps,60s_mark_age_ms,60s_coverage_status,2m_status,2m_return_bps,2m_mark_age_ms,2m_coverage_status,5m_status,5m_return_bps,5m_mark_age_ms,5m_coverage_status
fp1sig-9f1055dd424ea902ad8b8365,ArDnhbwnMsrwcDz1j4FyHkwRFc2Ga78yvS6qWs9Tpump,2026-08-18T15:05:55.940655+00:00,SOL_NATIVE,2309,-1619,False,GAP,OBSERVABLE,2287,3074,COMPLETE,OBSERVABLE,2309,4944,COMPLETE,OBSERVABLE,1906,9474,COMPLETE,COVERAGE_GAP,-1619,19139,GAP,COVERAGE_GAP,-1619,79139,GAP,COVERAGE_GAP,-1619,259139,GAP
fp1sig-ab677704d90ca42a810ea754,7R4bY5SHTLah4RvZ3RY8ATScEAxA5Sy6Wk8Af9Xvpump,2026-08-18T15:06:49.870523+00:00,SOL_NATIVE,8802,5527,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,5527,8721,COMPLETE,OBSERVABLE,8802,9083,COMPLETE,COVERAGE_GAP,8802,39083,GAP,COVERAGE_GAP,8802,99083,GAP,COVERAGE_GAP,8802,279083,GAP
fp1sig-9367e22bdeea7605e185fe28,4ABzFHDyzBwZiJrvCeEzvdobgnw1saJpxyXoMWXUpump,2026-08-18T15:06:54.133749+00:00,SOL_NATIVE,8283,-7613,False,GAP,OBSERVABLE,4715,524,COMPLETE,OBSERVABLE,5616,4607,COMPLETE,OBSERVABLE,8283,4453,COMPLETE,COVERAGE_GAP,-6016,1313,GAP,COVERAGE_GAP,-110,1492,GAP,COVERAGE_GAP,-7599,14228,GAP
fp1sig-358cd107aa2c63074cebc63f,8TKhoxfRkvsVaSutxVtjQe3o5NsnVXN7gwu7yicfpump,2026-08-18T15:09:41.418056+00:00,SOL_NATIVE,12653,-4041,False,GAP,OBSERVABLE,163,2516,COMPLETE,COVERAGE_GAP,-2452,1706,GAP,COVERAGE_GAP,-3596,2028,GAP,COVERAGE_GAP,134,1921,GAP,COVERAGE_GAP,1859,1533,GAP,COVERAGE_GAP,6583,5016,GAP
fp1sig-688bb684ab6e8d5172b05f80,DS2khsRGLNKNTbBcf35r1UfUEB5qwM2jmZVSMgspump,2026-08-18T15:10:07.363882+00:00,SOL_NATIVE,47839,-754,False,GAP,OBSERVABLE,-754,991,COMPLETE,OBSERVABLE,1706,2866,COMPLETE,COVERAGE_GAP,26670,2498,GAP,COVERAGE_GAP,47536,21714,GAP,COVERAGE_GAP,47536,81714,GAP,COVERAGE_GAP,47536,261714,GAP
fp1sig-5f213027a8aef8fdeed0d8ba,8uyH1EfnkM3WtCBVEMbZjGHSVLZZ8U9BDYQ8vD56pump,2026-08-18T15:10:09.328886+00:00,SOL_NATIVE,1338,-7484,False,GAP,OBSERVABLE,130,1015,COMPLETE,OBSERVABLE,865,80,COMPLETE,COVERAGE_GAP,-7480,4129,GAP,COVERAGE_GAP,-7480,34129,GAP,COVERAGE_GAP,-7484,53540,GAP,COVERAGE_GAP,-7484,233540,GAP
fp1sig-a895c96dbd02b3469fe9af20,3Dgt1FPzD89deWyJn6mYB6cKgsbfzebR894ckj2Mpump,2026-08-18T15:10:09.386890+00:00,SOL_NATIVE,897,-4362,False,GAP,OBSERVABLE,378,1077,COMPLETE,OBSERVABLE,580,149,COMPLETE,COVERAGE_GAP,580,15149,GAP,COVERAGE_GAP,-1219,2555,GAP,COVERAGE_GAP,-3720,4282,GAP,COVERAGE_GAP,-3468,5915,GAP
fp1sig-22fbfbe7a79871d7620cb958,DapJsmvZ6e1fYdPm6YZUE8ybu8ZU2DxXWjQk8B6Dpump,2026-08-18T15:10:29.395070+00:00,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,23504,-8969,False,GAP,COVERAGE_GAP,-1507,2914,GAP,COVERAGE_GAP,18402,949,GAP,COVERAGE_GAP,17178,656,GAP,COVERAGE_GAP,-8375,1161,GAP,COVERAGE_GAP,-8262,10102,GAP,COVERAGE_GAP,-8969,75543,GAP
fp1sig-8a40d06620deab3e40152ca5,7wa4e3aa3YNLnmRbstgNBsNwrfSQGkeM2E2njKA8pump,2026-08-18T15:10:31.462843+00:00,SOL_NATIVE,10109,-9347,False,GAP,COVERAGE_GAP,,,GAP,COVERAGE_GAP,7979,3048,GAP,COVERAGE_GAP,10109,7249,GAP,COVERAGE_GAP,3527,22250,GAP,COVERAGE_GAP,-6807,5560,GAP,COVERAGE_GAP,-9347,71216,GAP
fp1sig-5b14b3347c8a1a244eb80b07,3UMRBojgP4w8RkENHZQkS3tLG1Hxsn7EEPWr3PfEpump,2026-08-18T15:10:37.390638+00:00,SOL_NATIVE,-290,-5329,False,GAP,OBSERVABLE,-3173,597,COMPLETE,OBSERVABLE,-4039,2235,COMPLETE,OBSERVABLE,-4031,4709,COMPLETE,COVERAGE_GAP,-5329,19376,GAP,COVERAGE_GAP,-5329,79376,GAP,COVERAGE_GAP,-5329,259376,GAP
fp1sig-88a21c779ce0437b1464302b,7B7PcAsLqB2q7SejUxJMoETwx2CWV95Qqmnt9WXVpump,2026-08-18T15:11:02.712088+00:00,SOL_NATIVE,664,-3035,False,GAP,OBSERVABLE,-1956,797,COMPLETE,OBSERVABLE,-2083,6069,COMPLETE,COVERAGE_GAP,-2083,21069,GAP,COVERAGE_GAP,-2083,51069,GAP,COVERAGE_GAP,-2083,111069,GAP,COVERAGE_GAP,-2083,291069,GAP
fp1sig-07079496e78da60750e4bc99,8Rc8K5DsA82qker7WYZ5AYP7gbu8vzJaE5VoEgAYkyAT,2026-08-18T15:12:12.089382+00:00,SOL_NATIVE,537,-3300,False,GAP,OBSERVABLE,340,201,COMPLETE,OBSERVABLE,80,7720,COMPLETE,OBSERVABLE,-46,7614,COMPLETE,COVERAGE_GAP,-110,23947,GAP,COVERAGE_GAP,-3298,43299,GAP,COVERAGE_GAP,-3298,223299,GAP
fp1sig-77a0afb425881e91d5d95436,BeWYjaUbQnd5thLtsycuhdFh4DPgUfbGSSGnVYTgpump,2026-08-18T15:12:21.834694+00:00,SOL_NATIVE,3940,-9977,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,3211,2353,COMPLETE,OBSERVABLE,-583,1465,COMPLETE,COVERAGE_GAP,-9300,2117,GAP,COVERAGE_GAP,-9977,17030,GAP,COVERAGE_GAP,-9977,197030,GAP
fp1sig-39ff79696f78c12fe9b7638a,AtYYkehsx7GyMekkYoH51EpS2EnnCHNmsmjxUeQ9pump,2026-08-18T15:12:34.453948+00:00,SOL_NATIVE,,,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,NO_FUTURE_PRICE,,,COMPLETE,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP
fp1sig-b999769db117623bc89731f8,wruRZnzAAJwMV9dYB8DNGo8Ak5AZcWfxzFCgShvpump,2026-08-18T15:13:10.753827+00:00,SOL_NATIVE,1092,-4895,False,GAP,OBSERVABLE,81,597,COMPLETE,OBSERVABLE,201,1392,COMPLETE,COVERAGE_GAP,919,5304,GAP,COVERAGE_GAP,-2294,1162,GAP,COVERAGE_GAP,-4882,9366,GAP,COVERAGE_GAP,-4882,189366,GAP
fp1sig-1e6e01a9db7489f7e1680fa8,5Q1TXEM1J4AFwK3JVr1ea9M6d91NHw3eqVuXc2KKpump,2026-08-18T15:13:49.201304+00:00,SOL_NATIVE,721,-5019,False,GAP,OBSERVABLE,528,301,COMPLETE,OBSERVABLE,721,3687,COMPLETE,OBSERVABLE,-586,741,COMPLETE,COVERAGE_GAP,-3026,954,GAP,COVERAGE_GAP,-2845,1578,GAP,COVERAGE_GAP,-5019,519,GAP
fp1sig-f35ee6921743953c758de469,6aNcAXbqLxzRtsSzYqbAVFhnhV1pq9BpRwhfxCZwpump,2026-08-18T15:13:58.209562+00:00,SOL_NATIVE,16819,-9195,False,GAP,OBSERVABLE,1706,308,COMPLETE,OBSERVABLE,-2128,3587,COMPLETE,COVERAGE_GAP,3437,5814,GAP,COVERAGE_GAP,7784,14627,GAP,COVERAGE_GAP,7914,47684,GAP,COVERAGE_GAP,-9106,4723,GAP
fp1sig-ffc7267841915acf7e10c15b,CCwMj1iJvQ61akakwhz3SD1op5AjdTgfuevdAFNMpump,2026-08-18T15:15:08.041627+00:00,SOL_NATIVE,350,-6783,False,GAP,OBSERVABLE,350,2511,COMPLETE,COVERAGE_GAP,350,12511,GAP,COVERAGE_GAP,350,27511,GAP,COVERAGE_GAP,350,57511,GAP,COVERAGE_GAP,-6783,20447,GAP,COVERAGE_GAP,-6783,200447,GAP
fp1sig-d93c10b8f0a999347a457d97,2dTWhrw39Z3CaMsaYL7zm2uhnzegRNDJje2AnPPLpump,2026-08-18T15:16:17.457772+00:00,SOL_NATIVE,-224,-2791,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,-2658,1468,COMPLETE,COVERAGE_GAP,-1287,7512,GAP,COVERAGE_GAP,-1287,37512,GAP,COVERAGE_GAP,-1287,97512,GAP,COVERAGE_GAP,-1287,277512,GAP
fp1sig-2bb6a170cf6d675c3ed5280e,EoEZ8gDkEDMQd8iE4XJULhQ5rD6FiCUmxpfCvr8cpump,2026-08-18T15:17:48.419880+00:00,SOL_NATIVE,17575,-4830,False,GAP,OBSERVABLE,-356,653,COMPLETE,OBSERVABLE,-135,1726,COMPLETE,COVERAGE_GAP,508,5998,GAP,COVERAGE_GAP,-4513,3945,GAP,COVERAGE_GAP,9403,6690,GAP,COVERAGE_GAP,17575,37666,GAP
fp1sig-7ca0ce592a1759d7f3c7cffc,DzHCzW1YuXJXKGWpxkBiSWkrqRPYwxftG9ytbtRwpump,2026-08-18T15:17:48.435880+00:00,SOL_NATIVE,6329,3228,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,NO_FUTURE_PRICE,,,COMPLETE,COVERAGE_GAP,4828,6072,GAP,COVERAGE_GAP,4828,36072,GAP,COVERAGE_GAP,4828,96072,GAP,COVERAGE_GAP,4828,276072,GAP
fp1sig-d96e8be480627d6b6a3a6e14,DMXBsVBwfuzc5axa2vz6Ba2BzAxcUmn6V7ZtsJFEpump,2026-08-18T15:18:19.653594+00:00,SOL_NATIVE,8001,-43,False,GAP,OBSERVABLE,78,376,COMPLETE,OBSERVABLE,500,1544,COMPLETE,OBSERVABLE,390,2916,COMPLETE,COVERAGE_GAP,7576,718,GAP,COVERAGE_GAP,7568,35836,GAP,COVERAGE_GAP,7568,215836,GAP
fp1sig-116b55379e0034ef2183ee29,EA7RhMjFhyixeA6naXLk4XCdnhN8sj7tKZEx17qnpump,2026-08-18T15:19:18.933151+00:00,SOL_NATIVE,827,-6310,False,GAP,OBSERVABLE,-1147,260,COMPLETE,OBSERVABLE,-980,3510,COMPLETE,COVERAGE_GAP,103,5095,GAP,COVERAGE_GAP,-2573,1811,GAP,COVERAGE_GAP,-322,8507,GAP,COVERAGE_GAP,-5899,61562,GAP
fp1sig-1481c88e0415413abb5e1f97,36cgrUfUhsoXaM7ez9yJfCj3mk76UedWhQdDLM68pump,2026-08-18T15:20:07.657135+00:00,SOL_NATIVE,10080,-3383,False,GAP,OBSERVABLE,123,4970,COMPLETE,OBSERVABLE,194,5503,COMPLETE,COVERAGE_GAP,-1477,4206,GAP,COVERAGE_GAP,3395,6886,GAP,COVERAGE_GAP,10080,27550,GAP,COVERAGE_GAP,-264,117514,GAP
fp1sig-b25bb045420fd50d96d071d5,HywDGuEWP2La1oBokids5bxCVdLYiVAsCnegeED8ZjbA,2026-08-18T15:21:40.108529+00:00,SOL_NATIVE,4408,-3202,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,NO_FUTURE_PRICE,,,COMPLETE,NO_FUTURE_PRICE,,,COMPLETE,COVERAGE_GAP,4408,24622,GAP,COVERAGE_GAP,-1671,931,GAP,COVERAGE_GAP,-1840,6685,GAP
fp1sig-4f63214e27daf5a19ecb0f06,9RmTCsQzTTiCz6udn2dfhXGRytYZToZun5pRKYXUpump,2026-08-18T15:21:47.570064+00:00,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1631,-8401,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,OBSERVABLE,-2263,3460,COMPLETE,COVERAGE_GAP,1631,11386,GAP,COVERAGE_GAP,-8305,3885,GAP,COVERAGE_GAP,-8305,63885,GAP,COVERAGE_GAP,-8305,243885,GAP
