parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0004-C-121-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL0,121,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,8,0,3901,15,3803,82,1,0,15,3901,10,-1348,-613,161,9,-665,-497,31,4,-3300,-622,929,2,-7160,-7160,-77,1,-779,-779,-779,0,,,,0,9,-497,4,-622,False
FP1-EXP0004-C-122-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL6000,122,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,8,6000,3901,15,3803,82,1,0,15,3901,10,-1348,-613,161,9,-665,-497,31,4,-3300,-622,929,2,-7160,-7160,-77,1,-779,-779,-779,0,,,,0,9,-497,4,-622,False
FP1-EXP0004-C-123-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL30000,123,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,8,30000,3901,14,3804,82,1,0,14,3901,10,-1348,-613,161,9,-665,-497,31,4,-3300,-622,929,2,-7160,-7160,-77,1,-779,-779,-779,0,,,,0,9,-497,4,-622,False
FP1-EXP0004-C-124-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL93000,124,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,8,93000,3901,10,3807,83,1,0,10,3901,6,-613,-294,46,5,-569,-497,-7,2,-622,-622,929,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,5,-497,2,-622,False
FP1-EXP0004-C-125-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL185000,125,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,8,185000,3901,4,3814,83,0,0,4,3901,2,-613,-613,-294,2,-569,-569,-497,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,2,-569,1,-622,False
FP1-EXP0004-C-126-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL0,126,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,1,0,3901,30,3792,79,0,0,30,3901,14,-16,436,2010,17,-652,0,500,12,-1340,-83,1836,3,-6810,11213,14053,2,4464,4464,9496,1,-7788,-7788,-7788,1,17,0,12,-83,False
FP1-EXP0004-C-127-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL6000,127,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,1,6000,3901,20,3799,82,0,0,20,3901,8,-657,250,2010,8,-652,277,645,6,-83,563,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,8,277,6,563,False
FP1-EXP0004-C-128-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL30000,128,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,1,30000,3901,14,3805,82,0,0,14,3901,7,-657,53,1415,7,-652,22,277,5,-83,960,966,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,7,22,5,960,False
FP1-EXP0004-C-129-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL93000,129,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,1,93000,3901,6,3812,83,0,0,6,3901,4,-657,-269,788,4,-1035,-652,277,3,-2474,526,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,4,-652,3,526,False
FP1-EXP0004-C-130-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL185000,130,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,1,185000,3901,5,3813,83,0,0,5,3901,3,-657,-269,3501,3,-1035,-652,277,2,-2474,-2474,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,3,-652,2,-2474,False
FP1-EXP0004-C-131-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL0,131,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,2,0,3901,22,3799,80,0,0,22,3901,11,-16,436,2225,12,-332,277,645,10,-241,436,1535,3,-6810,11213,14053,2,4464,4464,9496,1,-7788,-7788,-7788,1,12,277,10,436,False
FP1-EXP0004-C-132-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL6000,132,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,2,6000,3901,15,3804,82,0,0,15,3901,6,250,810,3308,6,277,379,1581,5,563,1213,1535,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,6,379,5,1213,False
FP1-EXP0004-C-133-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL30000,133,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,2,30000,3901,10,3809,82,0,0,10,3901,5,-269,277,788,5,-652,120,277,4,-2474,526,966,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,5,120,4,526,False
FP1-EXP0004-C-134-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL93000,134,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,2,93000,3901,5,3813,83,0,0,5,3901,4,-657,-269,788,4,-1035,-652,277,3,-2474,526,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,4,-652,3,526,False
FP1-EXP0004-C-135-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL185000,135,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,2,185000,3901,4,3814,83,0,0,4,3901,3,-657,-269,3501,3,-1035,-652,277,2,-2474,-2474,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,3,-652,2,-2474,False
FP1-EXP0004-C-136-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL0,136,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,3,0,3901,15,3805,81,0,0,15,3901,8,-657,104,788,8,-398,277,636,7,-2474,526,2221,3,-6810,11213,14053,2,4464,4464,9496,1,-7788,-7788,-7788,1,8,277,7,526,False
FP1-EXP0004-C-137-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL6000,137,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,3,6000,3901,11,3808,82,0,0,11,3901,6,104,538,3308,6,232,277,636,5,413,526,1245,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,6,277,5,526,False
FP1-EXP0004-C-138-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL30000,138,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,3,30000,3901,7,3812,82,0,0,7,3901,4,-657,277,788,4,-652,120,277,4,-2474,526,966,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,4,120,4,526,False
FP1-EXP0004-C-139-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL93000,139,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,3,93000,3901,3,3815,83,0,0,3,3901,3,-657,788,3501,3,-652,277,636,3,-2474,526,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,3,277,3,526,False
FP1-EXP0004-C-140-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL185000,140,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,3,185000,3901,2,3816,83,0,0,2,3901,2,-657,-657,3501,2,-652,-652,277,2,-2474,-2474,2481,2,-6810,-6810,11213,1,9496,9496,9496,0,,,,0,2,-652,2,-2474,False
FP1-EXP0004-C-141-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL0,141,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,4,0,3901,10,3809,82,0,0,10,3901,5,-657,-80,104,6,-652,-280,120,6,-321,-134,639,3,-6810,-5307,-4262,2,-6991,-6991,4418,1,-9467,-9467,-9467,1,6,-280,6,-134,False
FP1-EXP0004-C-142-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL6000,142,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,4,6000,3901,8,3811,82,0,0,8,3901,5,-657,-80,104,5,-652,-220,120,5,-321,413,639,2,-6810,-6810,-4262,1,4418,4418,4418,0,,,,0,5,-220,5,413,False
FP1-EXP0004-C-143-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL30000,143,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,4,30000,3901,7,3812,82,0,0,7,3901,4,-4239,-657,-80,4,-4333,-652,-220,4,-2474,-321,639,2,-6810,-6810,-4262,1,4418,4418,4418,0,,,,0,4,-652,4,-321,False
FP1-EXP0004-C-144-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL93000,144,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,4,93000,3901,3,3815,83,0,0,3,3901,2,-4239,-4239,-657,2,-4333,-4333,-652,2,-2474,-2474,639,2,-6810,-6810,-4262,1,4418,4418,4418,0,,,,0,2,-4333,2,-2474,False
FP1-EXP0004-C-145-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL185000,145,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,4,185000,3901,2,3816,83,0,0,2,3901,2,-4239,-4239,-657,2,-4333,-4333,-652,2,-2474,-2474,639,2,-6810,-6810,-4262,1,4418,4418,4418,0,,,,0,2,-4333,2,-2474,False
FP1-EXP0004-C-146-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL0,146,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,8,0,3901,2,3816,83,0,0,2,3901,1,-1683,-1683,-1683,1,-1678,-1678,-1678,1,-3300,-3300,-3300,1,-7160,-7160,-7160,0,,,,0,,,,0,1,-1678,1,-3300,False
FP1-EXP0004-C-147-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL6000,147,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,8,6000,3901,2,3816,83,0,0,2,3901,1,-1683,-1683,-1683,1,-1678,-1678,-1678,1,-3300,-3300,-3300,1,-7160,-7160,-7160,0,,,,0,,,,0,1,-1678,1,-3300,False
FP1-EXP0004-C-148-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL30000,148,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,8,30000,3901,1,3817,83,0,0,1,3901,1,-1683,-1683,-1683,1,-1678,-1678,-1678,1,-3300,-3300,-3300,1,-7160,-7160,-7160,0,,,,0,,,,0,1,-1678,1,-3300,False
FP1-EXP0004-C-149-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL93000,149,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,8,93000,3901,0,3818,83,0,0,0,3901,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,0,,False
FP1-EXP0004-C-150-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL185000,150,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,20700,8,185000,3901,0,3818,83,0,0,0,3901,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,0,,False
FP1-EXP0004-C-151-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL0,151,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,1,0,3901,46,3803,52,0,0,46,3901,37,19,264,631,32,-152,247,983,18,-484,468,872,6,-253,2818,7333,4,-2584,-253,4192,1,-2551,-2551,-2551,1,32,247,18,468,False
FP1-EXP0004-C-152-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL6000,152,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,1,6000,3901,46,3803,52,0,0,46,3901,37,19,264,631,32,-152,247,983,18,-484,468,872,6,-253,2818,7333,4,-2584,-253,4192,1,-2551,-2551,-2551,1,32,247,18,468,False
FP1-EXP0004-C-153-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL30000,153,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,1,30000,3901,35,3812,54,0,0,35,3901,25,26,195,1089,23,-152,84,1215,16,-621,-70,652,5,1339,3214,6535,3,-2584,3349,7134,1,-2551,-2551,-2551,1,23,84,16,-70,False
FP1-EXP0004-C-154-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL93000,154,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,1,93000,3901,15,3826,60,0,0,15,3901,12,-250,270,1089,10,144,636,1080,8,-518,526,1119,4,314,356,3046,2,-236,-236,2213,0,,,,0,10,636,8,526,False
FP1-EXP0004-C-155-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL185000,155,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,1,185000,3901,3,3835,63,0,0,3,3901,3,-613,-326,860,1,-569,-569,-569,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,1,-569,1,-622,False
FP1-EXP0004-C-156-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL0,156,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,2,0,3901,44,3803,54,0,0,44,3901,33,19,195,790,27,0,407,1215,18,-484,63,872,6,-503,1339,7028,4,-2584,-503,4192,1,-2551,-2551,-2551,1,27,407,18,63,True
FP1-EXP0004-C-157-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL6000,157,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,2,6000,3901,43,3804,54,0,0,43,3901,33,19,195,790,27,0,407,1215,18,-484,63,872,6,-503,1339,7028,4,-2584,-503,4192,1,-2551,-2551,-2551,1,27,407,18,63,False
FP1-EXP0004-C-158-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL30000,158,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,2,30000,3901,34,3812,55,0,0,34,3901,24,84,205,816,21,-100,150,741,15,-484,22,652,5,1339,3214,6535,3,-2584,3349,7134,1,-2551,-2551,-2551,1,21,150,15,22,False
FP1-EXP0004-C-159-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL93000,159,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,2,93000,3901,15,3826,60,0,0,15,3901,12,-250,270,1089,10,144,636,1080,8,-518,526,1119,4,314,356,3046,2,-236,-236,2213,0,,,,0,10,636,8,526,False
FP1-EXP0004-C-160-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL185000,160,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,2,185000,3901,3,3835,63,0,0,3,3901,3,-613,-326,860,1,-569,-569,-569,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,1,-569,1,-622,False
FP1-EXP0004-C-161-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL0,161,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,3,0,3901,35,3810,56,0,0,35,3901,29,35,396,788,19,0,256,721,11,22,526,1119,5,314,3620,6535,3,-2768,3759,7115,1,-2736,-2736,-2736,1,19,256,11,526,False
FP1-EXP0004-C-162-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL6000,162,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,3,6000,3901,34,3811,56,0,0,34,3901,29,84,447,790,19,-9,256,721,12,-171,256,872,5,314,3620,6535,3,-2768,3759,7115,1,-2736,-2736,-2736,1,19,256,12,256,False
FP1-EXP0004-C-163-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL30000,163,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,3,30000,3901,29,3815,57,0,0,29,3901,21,135,547,1197,16,-196,84,636,13,-96,256,652,5,314,3214,6535,3,-2768,3349,7134,1,-2736,-2736,-2736,1,16,84,13,256,False
FP1-EXP0004-C-164-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL93000,164,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,3,93000,3901,15,3826,60,0,0,15,3901,12,-250,270,1089,10,144,636,1080,8,-518,526,1119,4,314,356,3046,2,-236,-236,2213,0,,,,0,10,636,8,526,False
FP1-EXP0004-C-165-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL185000,165,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,3,185000,3901,3,3835,63,0,0,3,3901,3,-613,-326,860,1,-569,-569,-569,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,1,-569,1,-622,False
FP1-EXP0004-C-166-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL0,166,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,4,0,3901,28,3816,57,0,0,28,3901,20,35,370,860,13,-277,78,721,11,-277,-47,899,5,314,3214,5769,3,-3144,3349,7134,1,-3113,-3113,-3113,1,13,78,11,-47,False
FP1-EXP0004-C-167-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL6000,167,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,4,6000,3901,26,3818,57,0,0,26,3901,20,35,370,860,13,-277,78,721,11,-277,-47,899,5,314,3214,5769,3,-3144,3349,7134,1,-3113,-3113,-3113,1,13,78,11,-47,False
FP1-EXP0004-C-168-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL30000,168,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,4,30000,3901,24,3820,57,0,0,24,3901,17,97,401,986,12,-277,-100,681,11,-321,-47,899,5,314,3214,5769,3,-3144,3349,7134,1,-3113,-3113,-3113,1,12,-100,11,-47,False
FP1-EXP0004-C-169-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL93000,169,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,4,93000,3901,12,3828,61,0,0,12,3901,9,144,270,860,6,305,681,1080,5,929,1119,1808,4,314,356,2403,2,-236,-236,1611,0,,,,0,6,681,5,1119,False
FP1-EXP0004-C-170-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL185000,170,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,4,185000,3901,3,3835,63,0,0,3,3901,3,-613,-326,860,1,-569,-569,-569,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,1,-569,1,-622,False
FP1-EXP0004-C-171-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL0,171,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,8,0,3901,9,3830,62,0,0,9,3901,6,-466,-214,135,7,-357,-133,1080,5,-622,826,929,3,-77,-10,4047,1,-779,-779,-779,0,,,,0,7,-133,5,826,False
FP1-EXP0004-C-172-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL6000,172,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,8,6000,3901,9,3830,62,0,0,9,3901,6,-466,-214,135,7,-357,-133,1080,5,-622,826,929,3,-77,-10,4047,1,-779,-779,-779,0,,,,0,7,-133,5,826,False
FP1-EXP0004-C-173-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL30000,173,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,8,30000,3901,9,3830,62,0,0,9,3901,6,-466,-214,135,7,-357,-133,1080,5,-622,826,929,3,-77,-10,4047,1,-779,-779,-779,0,,,,0,7,-133,5,826,False
FP1-EXP0004-C-174-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL93000,174,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,8,93000,3901,6,3832,63,0,0,6,3901,5,-466,-214,80,5,-357,410,1080,4,-622,-327,929,3,-394,-77,4047,1,-779,-779,-779,0,,,,0,5,410,4,-327,False
FP1-EXP0004-C-175-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL185000,175,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,8,185000,3901,1,3836,64,0,0,1,3901,1,-613,-613,-613,1,-569,-569,-569,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,1,-569,1,-622,False
FP1-EXP0004-C-176-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL0,176,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,1,0,3901,39,3808,54,0,0,39,3901,29,26,307,677,24,-256,150,1215,17,-503,208,872,6,-503,1339,7333,4,-2584,-503,3759,1,-2551,-2551,-2551,1,24,150,17,208,False
FP1-EXP0004-C-177-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL6000,177,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,1,6000,3901,39,3808,54,0,0,39,3901,29,26,307,677,24,-256,150,1215,17,-503,208,872,6,-503,1339,7333,4,-2584,-503,3759,1,-2551,-2551,-2551,1,24,150,17,208,False
FP1-EXP0004-C-178-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL30000,178,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,1,30000,3901,35,3812,54,0,0,35,3901,26,26,195,1149,23,-196,84,1215,16,-520,-70,652,5,1339,3214,6535,3,-2584,3349,7134,1,-2551,-2551,-2551,1,23,84,16,-70,False
FP1-EXP0004-C-179-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL93000,179,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,1,93000,3901,15,3826,60,0,0,15,3901,12,-250,270,1089,10,144,636,1080,8,-518,526,1119,4,314,356,3046,2,-236,-236,2213,0,,,,0,10,636,8,526,False
FP1-EXP0004-C-180-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL185000,180,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,1,185000,3901,3,3835,63,0,0,3,3901,3,-613,-326,860,1,-569,-569,-569,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,1,-569,1,-622,False
FP1-EXP0004-C-181-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL0,181,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,2,0,3901,38,3808,55,0,0,38,3901,28,26,307,741,23,-100,387,1215,17,-484,208,872,6,-503,1339,7028,4,-2584,-503,3759,1,-2551,-2551,-2551,1,23,387,17,208,True
FP1-EXP0004-C-182-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL6000,182,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,2,6000,3901,37,3809,55,0,0,37,3901,28,26,307,741,23,-100,387,1215,17,-484,208,872,6,-503,1339,7028,4,-2584,-503,3759,1,-2551,-2551,-2551,1,23,387,17,208,False
FP1-EXP0004-C-183-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL30000,183,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,2,30000,3901,34,3812,55,0,0,34,3901,25,97,364,1089,21,-100,150,741,15,-484,22,652,5,1339,3214,6535,3,-2584,3349,7134,1,-2551,-2551,-2551,1,21,150,15,22,False
FP1-EXP0004-C-184-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL93000,184,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,2,93000,3901,15,3826,60,0,0,15,3901,12,-250,270,1089,10,144,636,1080,8,-518,526,1119,4,314,356,3046,2,-236,-236,2213,0,,,,0,10,636,8,526,False
