mint,first_tradable_observed_at_us,trade_events_5m,priced_trade_events_5m,unpriced_trade_events_5m,first_trade_priceable,any_priceable_trade_5m,price_coverage_class,return_from_t0_metric_available,short_window_price_metric_available,gap_event_count,reserve_defect_codes
HNKCC9MRbADQZeud31YvyDapjjD1JENkwvEKSvvgpump,1787077023896749,4,4,0,True,True,FULLY_PRICED_5M,True,True,0,
77oUtJndaiELNWWn7PD2cRtW4EMo3dsFFPmye75apump,1787077017999914,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
CEnCFYxux8H6gKUh6QMduyzAYxaPy3TQBZKy3hCVhoCQ,1787077015566437,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
61a3gXbmshsQFwBPpJZoe6SNzV4qm35ZCJxFtK4Jpump,1787077008640683,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
8aM5uquSuunJFo25zafzHr72AF4BTbWiz78rwYqpump,1787076999663459,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
3S27EpFcXVMghvMxsBNKYsZ4sKug1pUsmY1fBXrBpump,1787076997025113,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
FW4v33A3x7GTTDZBQxozWfPkxnJ3eowM3cye7uLNpump,1787076994933369,1,0,1,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
Di1EMmx93SbFcWymKJAiW3h8PfSss7XbzDrH6Epgpump,1787076994719409,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
7VPDdPcjYp3h49sqMHtMtCppxqDhg8dDB1n5XLdppump,1787076993468615,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
34x9M7rcmv9ycDA8LdcX8cfmR7THWKPxX1zUxXX1pump,1787076988336740,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
7G5QwVrFkRu4QmDB3nAkqjxJFsBx9WYwm1eGBGmMpump,1787076974566902,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
Au9ZAJ7nR3xtB9MXiUy57X4Z1x9RnyJGK5jkXMropump,1787076963689573,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
EoD9acf25KrHhJb7ime8nr3NyqDnf1stUMk3pyDZEmtS,1787076960342469,9,9,0,True,True,FULLY_PRICED_5M,True,True,0,
AssE3k56q7kSPZSSnrtxXpnDvDn4n5MuwCAhARVopump,1787076960231170,7,7,0,True,True,FULLY_PRICED_5M,True,True,0,
BW7SPidghGfjYSCkVEGXTm2stHAhPLgm3sv9kVtBpump,1787076956920968,3,3,0,True,True,FULLY_PRICED_5M,True,True,0,
BxaBbACnyDobzDzAGSDx6AwzoCexk4vx1SdpK6C5pump,1787076949703219,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
2wmaWULyFCsfSuBreB2z6Rvqqqqj2CfyamaVJjV6pump,1787076943341810,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
7jJUtWKJziKAhF9WLmm8Sfni1Xcz82bsYiKPVEeqpump,1787076937955256,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
DTv3pz8peeZkZdvoHxHvJ1JUhty6ts9SGvfC4kGzDnn8,1787076937874263,3,3,0,True,True,FULLY_PRICED_5M,True,True,0,
FStDTDuGtYYBwVRZ18S6TYcoDiiEqVMiorrK89fqpump,1787076918169386,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
SndJGLp57MtRWUrDDhZGT2p4mxmMsV7eyDoQkgMpump,1787076915573781,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
CDhGbKqXPEgh9PvwwwsVaPTJ7XwFh8Jpo7XzY6Zdpump,1787076911184046,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
4guznapky4xswi8Qoc16HGf3k3hoFD7yEbKxEZyGpump,1787076908754179,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
HCnZgsFH45ZGR9irM6D5R2dTdFF2hcHBc9XeRXDcpump,1787076905893683,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,1787076903523423,33,0,33,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
V8pwrntDFeYXVDDSS3H5NygoudcHbToB8Q37mQFpump,1787076892365879,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
HQ9bG7FeTWVbFvKEvXonjHc5CJVjVFNXG8tveE9icyvZ,1787076883466961,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
CpxmLWH1bN8Mddbj1WX583BoJrwAQTucvDFe6eBhpump,1787076873978195,4,4,0,True,True,FULLY_PRICED_5M,True,True,0,
5MHeqv63kDyREwMxGSbxG6w1tNR4jePekNMbP1NfNmca,1787076871704104,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
GtVFV7BQzhUtEeBW3Qr7pzw4hgw6xBhUGnKDPbWXpump,1787076869900846,24,24,0,True,True,FULLY_PRICED_5M,True,True,0,
PeBVYRsRQZAiUoSnBXXhX5E9HUgBZyDURWrerYcYgiz,1787076860112732,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
BrtFjxbryd56QRziBsN18qAcd9iRtrMuDZQF8DVH2ix4,1787076852956403,10,10,0,True,True,FULLY_PRICED_5M,True,True,0,
BXrAJKpAcGJt2NACiXdt5wHwEi2KukWTAbgmjeKUpump,1787076843123845,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
EZG1FtAVKbvK7bFcUcvekGbx5MQyjzWQraEqJJeapump,1787076822253485,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
