parameter_set_id,abc_role,min_extension_from_response_bps,max_extension_from_response_bps,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0005-D-037-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC700-RW3000,ROBUST_1,700,3000,15,9,355,6,587,4,355,587
FP1-EXP0005-D-038-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC700-RW7000,ROBUST_1,700,7000,15,9,355,6,587,4,355,587
FP1-EXP0005-D-039-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC700-RW10000,ROBUST_1,700,10000,15,9,355,6,587,3,355,587
FP1-EXP0005-D-040-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC800-RW2000,ROBUST_1,800,2000,15,8,274,6,587,2,314,587
FP1-EXP0005-D-041-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC800-RW2500,ROBUST_1,800,2500,15,8,274,6,587,3,274,587
FP1-EXP0005-D-042-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC800-RW3000,ROBUST_1,800,3000,15,8,274,6,587,4,314,587
FP1-EXP0005-D-043-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC800-RW7000,ROBUST_1,800,7000,15,8,274,6,587,4,314,587
FP1-EXP0005-D-044-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC800-RW10000,ROBUST_1,800,10000,15,8,274,6,587,3,355,587
FP1-EXP0005-D-045-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW3000,ROBUST_1,2500,3000,6,3,2165,3,2420,2,677,758
FP1-EXP0005-D-046-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW7000,ROBUST_1,2500,7000,8,4,1080,5,929,3,1080,929
FP1-EXP0005-D-047-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW10000,ROBUST_1,2500,10000,8,4,1080,5,929,3,274,587
FP1-EXP0005-D-048-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC7100-RW10000,ROBUST_1,7100,10000,2,2,-7,1,526,1,1080,929
FP1-EXP0005-D-049-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2000,ROBUST_2,200,2000,21,10,645,8,826,2,511,706
FP1-EXP0005-D-050-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,ROBUST_2,200,2500,22,10,645,8,826,3,645,826
FP1-EXP0005-D-051-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW3000,ROBUST_2,200,3000,23,10,645,8,826,3,645,826
FP1-EXP0005-D-052-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,ROBUST_2,200,7000,23,10,645,8,826,3,645,826
FP1-EXP0005-D-053-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,ROBUST_2,200,10000,23,10,645,8,826,2,511,706
FP1-EXP0005-D-054-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2000,ROBUST_2,500,2000,19,11,377,9,587,3,377,587
FP1-EXP0005-D-055-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2500,ROBUST_2,500,2500,20,11,377,9,587,4,377,587
FP1-EXP0005-D-056-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW3000,ROBUST_2,500,3000,21,11,377,9,587,4,377,587
FP1-EXP0005-D-057-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW7000,ROBUST_2,500,7000,21,11,377,9,587,4,377,587
FP1-EXP0005-D-058-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW10000,ROBUST_2,500,10000,21,11,377,9,587,3,377,587
FP1-EXP0005-D-059-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC700-RW2000,ROBUST_2,700,2000,18,11,274,9,587,3,274,587
FP1-EXP0005-D-060-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC700-RW2500,ROBUST_2,700,2500,19,11,274,9,587,4,274,587
FP1-EXP0005-D-061-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC700-RW3000,ROBUST_2,700,3000,20,11,274,9,587,4,274,587
FP1-EXP0005-D-062-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC700-RW7000,ROBUST_2,700,7000,20,11,274,9,587,4,274,587
FP1-EXP0005-D-063-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC700-RW10000,ROBUST_2,700,10000,20,11,274,9,587,3,274,587
FP1-EXP0005-D-064-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC800-RW2000,ROBUST_2,800,2000,18,11,250,9,587,2,262,587
FP1-EXP0005-D-065-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC800-RW2500,ROBUST_2,800,2500,19,11,250,9,587,3,250,587
FP1-EXP0005-D-066-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC800-RW3000,ROBUST_2,800,3000,20,11,250,9,587,4,262,587
FP1-EXP0005-D-067-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC800-RW7000,ROBUST_2,800,7000,20,11,250,9,587,4,262,587
FP1-EXP0005-D-068-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC800-RW10000,ROBUST_2,800,10000,20,11,250,9,587,3,274,587
FP1-EXP0005-D-069-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW3000,ROBUST_2,2500,3000,6,3,2165,3,2420,2,665,758
FP1-EXP0005-D-070-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW7000,ROBUST_2,2500,7000,9,5,1080,5,929,3,1080,929
FP1-EXP0005-D-071-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW10000,ROBUST_2,2500,10000,9,5,1080,5,929,3,250,587
FP1-EXP0005-D-072-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC7100-RW10000,ROBUST_2,7100,10000,2,2,-7,1,526,1,1080,929
FP1-EXP0005-D-073-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2000,ROBUST_3,200,2000,20,9,692,7,826,2,483,249
FP1-EXP0005-D-074-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,ROBUST_3,200,2500,21,9,692,7,826,3,483,748
FP1-EXP0005-D-075-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW3000,ROBUST_3,200,3000,24,10,483,9,748,3,483,748
FP1-EXP0005-D-076-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,ROBUST_3,200,7000,25,10,483,9,748,3,483,748
FP1-EXP0005-D-077-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,ROBUST_3,200,10000,25,10,483,9,748,2,378,210
