parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,candidate_count,rejected_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier,neighbor_count,neighbors_with_15s_median,neighbor_15s_p50_median_bps,neighbor_15s_p50_min_bps,neighbor_15s_p50_max_bps,neighbors_with_30s_median,neighbor_30s_p50_median_bps,neighbor_30s_p50_min_bps,neighbor_30s_p50_max_bps
FP1-EXP0002-A-111-R5000-T5-B1,5000,5,1,106,0,52,196,28,297,False,5,5,201,181,238,5,297,297,331
FP1-EXP0002-A-112-R5000-T5-B2,5000,5,2,94,0,49,238,25,297,False,6,6,201,196,238,6,297,297,331
FP1-EXP0002-A-113-R5000-T5-B3,5000,5,3,85,0,46,201,23,297,False,6,6,219,196,238,6,297,44,297
FP1-EXP0002-A-114-R5000-T5-B5,5000,5,5,73,0,39,196,21,297,False,6,6,198,181,238,6,297,297,390
FP1-EXP0002-A-115-R5000-T5-B9,5000,5,9,58,0,36,238,19,390,True,5,5,238,196,238,5,390,297,390
FP1-EXP0002-A-116-R5000-T7-B1,5000,7,1,98,0,49,201,26,297,False,5,5,196,173,238,5,297,44,331
FP1-EXP0002-A-117-R5000-T7-B2,5000,7,2,92,0,48,201,25,297,False,6,6,201,173,238,6,297,44,297
FP1-EXP0002-A-118-R5000-T7-B3,5000,7,3,85,0,46,201,23,297,False,6,6,198,181,238,6,297,41,297
FP1-EXP0002-A-119-R5000-T7-B5,5000,7,5,73,0,39,196,21,297,False,6,6,198,173,238,6,297,122,390
FP1-EXP0002-A-120-R5000-T7-B9,5000,7,9,58,0,36,238,19,390,True,5,5,238,196,238,5,331,297,390
FP1-EXP0002-A-121-R5000-T24-B1,5000,24,1,60,0,33,196,19,238,False,4,4,196,196,201,4,238,44,297
FP1-EXP0002-A-122-R5000-T24-B2,5000,24,2,60,0,33,196,19,238,False,5,5,196,196,201,5,238,44,297
FP1-EXP0002-A-123-R5000-T24-B3,5000,24,3,59,0,32,196,19,238,False,5,5,196,181,238,5,238,41,297
FP1-EXP0002-A-124-R5000-T24-B5,5000,24,5,56,0,30,196,18,122,False,5,5,196,181,238,5,238,44,297
FP1-EXP0002-A-125-R5000-T24-B9,5000,24,9,48,0,28,238,16,297,False,4,4,238,196,241,4,314,122,390
FP1-EXP0002-A-126-R5500-T2-B1,5500,2,1,104,0,51,238,28,297,False,4,4,217,150,241,4,297,-583,331
FP1-EXP0002-A-127-R5500-T2-B2,5500,2,2,90,0,47,241,24,297,False,5,5,238,150,241,5,297,-583,331
FP1-EXP0002-A-128-R5500-T2-B3,5500,2,3,80,0,44,238,22,297,False,5,5,238,201,247,5,297,-583,297
FP1-EXP0002-A-129-R5500-T2-B5,5500,2,5,68,0,36,201,20,297,False,5,5,201,150,238,5,297,22,390
FP1-EXP0002-A-130-R5500-T2-B9,5500,2,9,54,0,34,238,18,390,False,4,4,238,201,247,4,390,297,392
FP1-EXP0002-A-131-R5500-T3-B1,5500,3,1,104,0,51,238,28,297,False,5,5,201,150,241,5,297,-583,331
FP1-EXP0002-A-132-R5500-T3-B2,5500,3,2,90,0,47,241,24,297,False,6,6,238,150,241,6,297,-583,331
FP1-EXP0002-A-133-R5500-T3-B3,5500,3,3,80,0,44,238,22,297,False,6,6,238,201,247,6,297,-583,297
FP1-EXP0002-A-134-R5500-T3-B5,5500,3,5,68,0,36,201,20,297,False,6,6,201,150,238,6,297,22,390
FP1-EXP0002-A-135-R5500-T3-B9,5500,3,9,54,0,34,238,18,390,False,5,5,238,201,247,5,390,297,392
FP1-EXP0002-A-136-R5500-T5-B1,5500,5,1,100,0,48,201,27,331,False,5,5,238,150,238,5,297,-583,331
FP1-EXP0002-A-137-R5500-T5-B2,5500,5,2,88,0,45,238,24,297,False,6,6,238,150,241,6,297,-583,331
FP1-EXP0002-A-138-R5500-T5-B3,5500,5,3,80,0,43,238,22,297,False,6,6,238,201,247,6,297,-583,297
