parameter_set_id,combo_index,a_role,a_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0003-B-014-CONTROL-R500-T2-U1-PD3000-6500,14,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,3000,6500,3901,97,3640,164,0,0,97,3901,56,-405,159,816,52,-1214,36,721,37,-1280,-40,602,16,-3686,-639,1679,15,-2772,-1215,1763,9,-8571,-4555,-2551,9,52,36,37,-40,False
FP1-EXP0003-B-015-CONTROL-R500-T2-U1-PD3000-9000,15,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,3000,9000,3901,141,3703,57,0,0,141,3901,74,-127,163,816,75,-1427,36,923,49,-1439,-40,546,17,-3686,-639,1679,16,-4323,-1958,1679,10,-8588,-7446,-2551,10,75,36,49,-40,False
FP1-EXP0003-B-016-CONTROL-R500-T2-U1-PD4000-5500,16,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,4000,5500,3901,50,3623,228,0,0,50,3901,28,-94,315,816,19,-967,80,517,18,-2303,-253,517,9,-253,1121,1679,9,-2446,-253,1704,5,-5408,-2833,-2551,5,19,80,18,-253,False
FP1-EXP0003-B-017-CONTROL-R500-T2-U1-PD4000-6000,17,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,4000,6000,3901,59,3639,203,0,0,59,3901,33,-94,315,1007,25,-1941,0,446,23,-2932,-171,517,10,-2538,900,1679,10,-2584,-1215,1704,6,-8571,-5408,-2551,6,25,0,23,-171,False
FP1-EXP0003-B-018-CONTROL-R500-T2-U1-PD4000-6500,18,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,4000,6500,3901,65,3664,172,0,0,65,3901,37,-94,264,816,30,-1478,0,517,27,-2932,-171,543,13,-4043,-253,1263,12,-6116,-2446,1679,8,-8588,-6208,-2833,8,30,0,27,-171,False
FP1-EXP0003-B-019-CONTROL-R500-T2-U1-PD4000-9000,19,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,4000,9000,3901,110,3732,59,0,0,110,3901,54,-106,238,816,53,-1478,36,611,38,-2932,-171,517,14,-4580,-2538,1263,13,-6116,-2446,1679,9,-8588,-6208,-2833,9,53,36,38,-171,False
FP1-EXP0003-B-020-CONTROL-R500-T2-U1-PD6000-6500,20,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,6000,6500,3901,12,3698,191,0,0,12,3901,6,-70,215,891,8,-1478,206,983,5,-4368,195,543,4,-6539,-5798,-4043,3,-9123,-6539,1792,2,-8588,-8588,-6620,2,8,206,5,195,False
FP1-EXP0003-B-021-CONTROL-R500-T2-U1-PD6000-9000,21,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,6000,9000,3901,63,3773,64,1,0,63,3901,27,-106,238,890,33,-1427,238,1091,19,-3418,238,602,9,-5938,-4043,1657,8,-8837,-6539,1792,4,-8851,-8588,-6620,4,33,238,19,238,False
FP1-EXP0003-B-022-ROBUST_1-R1500-T5-U9-PD1000-3500,22,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,1000,3500,3901,65,3737,99,0,0,65,3901,48,-613,188,1089,43,-744,181,1215,17,5,297,529,5,-3742,5,4048,3,-3839,11,4192,1,-3863,-3863,-3863,1,43,181,17,297,False
FP1-EXP0003-B-023-ROBUST_1-R1500-T5-U9-PD1000-5500,23,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,1000,5500,3901,83,3761,57,0,0,83,3901,63,-114,315,1089,54,-350,201,1215,25,-253,297,869,9,-2376,5,4048,6,-2376,-253,4192,2,-3863,-3863,-2342,2,54,201,25,297,False
FP1-EXP0003-B-024-ROBUST_1-R1500-T5-U9-PD1000-6000,24,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,1000,6000,3901,84,3767,50,0,0,84,3901,64,-114,308,790,55,-350,238,1215,26,-253,74,869,9,-2376,5,4048,6,-2376,-253,4192,2,-3863,-3863,-2342,2,55,238,26,74,False
FP1-EXP0003-B-025-ROBUST_1-R1500-T5-U9-PD1000-6500,25,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,1000,6500,3901,85,3777,39,0,0,85,3901,65,-70,308,790,56,-350,238,1012,27,-253,297,869,9,-2376,5,4048,6,-2376,-253,4192,2,-3863,-3863,-2342,2,56,238,27,297,False
FP1-EXP0003-B-026-ROBUST_1-R1500-T5-U9-PD1000-9000,26,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,1000,9000,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,60,241,29,331,True
FP1-EXP0003-B-027-ROBUST_1-R1500-T5-U9-PD2500-3500,27,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,2500,3500,3901,19,3752,130,0,0,19,3901,15,26,195,1089,16,-11,247,1215,7,22,529,2519,2,4048,4048,7437,1,4192,4192,4192,0,,,,0,16,247,7,529,False
FP1-EXP0003-B-028-ROBUST_1-R1500-T5-U9-PD2500-5500,28,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,2500,5500,3901,43,3781,77,0,0,43,3901,34,19,264,631,29,-11,247,1215,16,-586,468,872,6,-253,2818,7333,4,-2584,-253,4192,1,-2551,-2551,-2551,1,29,247,16,468,False
FP1-EXP0003-B-029-ROBUST_1-R1500-T5-U9-PD2500-6000,29,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,2500,6000,3901,44,3788,69,0,0,44,3901,35,19,264,631,30,-11,247,1215,17,-484,468,872,6,-253,2818,7333,4,-2584,-253,4192,1,-2551,-2551,-2551,1,30,247,17,468,False
FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,30,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,2500,6500,3901,46,3803,52,0,0,46,3901,37,19,264,631,32,-152,247,983,18,-484,468,872,6,-253,2818,7333,4,-2584,-253,4192,1,-2551,-2551,-2551,1,32,247,18,468,False
FP1-EXP0003-B-031-ROBUST_1-R1500-T5-U9-PD2500-9000,31,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,2500,9000,3901,57,3842,2,0,0,57,3901,45,19,264,610,40,-11,407,1215,23,-484,468,1271,7,-253,4048,7437,5,-253,4192,7115,1,-2551,-2551,-2551,1,40,407,23,468,True
FP1-EXP0003-B-032-ROBUST_1-R1500-T5-U9-PD3000-3500,32,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,3000,3500,3901,8,3757,136,0,0,8,3901,4,-4114,84,1089,5,0,247,1215,3,-1004,22,2519,0,,,,0,,,,0,,,,0,5,247,3,22,False
FP1-EXP0003-B-033-ROBUST_1-R1500-T5-U9-PD3000-5500,33,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,3000,5500,3901,33,3787,81,0,0,33,3901,24,5,315,790,18,-627,238,1215,12,-810,-253,872,4,-2584,-253,2818,3,-2584,-253,7115,1,-2551,-2551,-2551,1,18,238,12,-253,False
FP1-EXP0003-B-034-ROBUST_1-R1500-T5-U9-PD3000-6000,34,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,3000,6000,3901,34,3794,73,0,0,34,3901,25,19,315,790,19,-627,247,1215,13,-586,22,872,4,-2584,-253,2818,3,-2584,-253,7115,1,-2551,-2551,-2551,1,19,247,13,22,False
FP1-EXP0003-B-035-ROBUST_1-R1500-T5-U9-PD3000-6500,35,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,3000,6500,3901,36,3810,55,0,0,36,3901,27,5,315,790,21,-627,247,983,14,-586,22,872,4,-2584,-253,2818,3,-2584,-253,7115,1,-2551,-2551,-2551,1,21,247,14,22,False
FP1-EXP0003-B-036-ROBUST_1-R1500-T5-U9-PD3000-9000,36,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,3000,9000,3901,48,3851,2,0,0,48,3901,36,5,264,610,30,-627,247,1215,20,-810,41,872,5,-253,2818,7333,4,-2584,-253,7115,1,-2551,-2551,-2551,1,30,247,20,41,False
FP1-EXP0003-B-037-ROBUST_1-R1500-T5-U9-PD4000-5500,37,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,4000,5500,3901,18,3798,85,0,0,18,3901,13,5,447,816,6,-736,0,517,5,-810,-253,517,2,-2584,-2584,-253,2,-2584,-2584,-253,1,-2551,-2551,-2551,1,6,0,5,-253,False
FP1-EXP0003-B-038-ROBUST_1-R1500-T5-U9-PD4000-6000,38,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,4000,6000,3901,20,3806,75,0,0,20,3901,15,5,447,1149,8,-736,0,446,7,-810,-171,517,2,-2584,-2584,-253,2,-2584,-2584,-253,1,-2551,-2551,-2551,1,8,0,7,-171,False
FP1-EXP0003-B-039-ROBUST_1-R1500-T5-U9-PD4000-6500,39,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,4000,6500,3901,22,3823,56,0,0,22,3901,17,5,447,816,10,-736,0,517,8,-810,-171,517,2,-2584,-2584,-253,2,-2584,-2584,-253,1,-2551,-2551,-2551,1,10,0,8,-171,False
FP1-EXP0003-B-040-ROBUST_1-R1500-T5-U9-PD4000-9000,40,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,4000,9000,3901,34,3865,2,0,0,34,3901,26,5,300,790,19,-736,238,983,14,-810,41,602,3,-2584,-253,44102,3,-2584,-253,14761,1,-2551,-2551,-2551,1,19,238,14,41,False
FP1-EXP0003-B-041-ROBUST_1-R1500-T5-U9-PD6000-6500,41,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,6000,6500,3901,3,3836,62,0,0,3,3901,3,-70,677,1022,3,-1478,983,1020,1,602,602,602,0,,,,0,,,,0,,,,0,3,983,1,602,False
