parameter_set_id,a_role,min_depth_bps,max_depth_bps,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0003-B-062-ROBUST_2-R2000-T3-U5-PD6000-6500,ROBUST_2,6000,6500,4,4,-106,2,-4368,2,279,-7
FP1-EXP0003-B-063-ROBUST_2-R2000-T3-U5-PD6000-9000,ROBUST_2,6000,9000,24,14,559,9,238,2,66,-2269
FP1-EXP0003-B-064-ROBUST_3-R5000-T3-U2-PD1000-3500,ROBUST_3,1000,3500,59,33,181,12,297,2,175,1354
FP1-EXP0003-B-065-ROBUST_3-R5000-T3-U2-PD1000-5500,ROBUST_3,1000,5500,80,44,201,22,331,3,181,331
FP1-EXP0003-B-066-ROBUST_3-R5000-T3-U2-PD1000-6000,ROBUST_3,1000,6000,82,44,201,22,331,3,201,331
FP1-EXP0003-B-067-ROBUST_3-R5000-T3-U2-PD1000-6500,ROBUST_3,1000,6500,84,45,238,22,331,3,201,331
FP1-EXP0003-B-068-ROBUST_3-R5000-T3-U2-PD1000-9000,ROBUST_3,1000,9000,96,50,238,25,331,2,217,361
FP1-EXP0003-B-069-ROBUST_3-R5000-T3-U2-PD2500-3500,ROBUST_3,2500,3500,19,13,150,7,2378,3,154,297
FP1-EXP0003-B-070-ROBUST_3-R5000-T3-U2-PD2500-5500,ROBUST_3,2500,5500,45,27,154,19,529,4,152,430
FP1-EXP0003-B-071-ROBUST_3-R5000-T3-U2-PD2500-6000,ROBUST_3,2500,6000,48,27,154,19,529,4,154,430
FP1-EXP0003-B-072-ROBUST_3-R5000-T3-U2-PD2500-6500,ROBUST_3,2500,6500,52,29,154,19,529,4,175,454
FP1-EXP0003-B-073-ROBUST_3-R5000-T3-U2-PD2500-9000,ROBUST_3,2500,9000,67,38,196,24,392,3,196,331
FP1-EXP0003-B-074-ROBUST_3-R5000-T3-U2-PD3000-3500,ROBUST_3,3000,3500,8,6,-153,3,22,2,93,1200
FP1-EXP0003-B-075-ROBUST_3-R5000-T3-U2-PD3000-5500,ROBUST_3,3000,5500,35,20,36,14,22,4,36,22
FP1-EXP0003-B-076-ROBUST_3-R5000-T3-U2-PD3000-6000,ROBUST_3,3000,6000,39,20,36,14,22,4,95,269
FP1-EXP0003-B-077-ROBUST_3-R5000-T3-U2-PD3000-6500,ROBUST_3,3000,6500,43,23,154,15,517,4,95,130
FP1-EXP0003-B-078-ROBUST_3-R5000-T3-U2-PD3000-9000,ROBUST_3,3000,9000,61,33,196,21,238,3,154,392
FP1-EXP0003-B-079-ROBUST_3-R5000-T3-U2-PD4000-5500,ROBUST_3,4000,5500,23,10,36,8,-253,2,36,-74
FP1-EXP0003-B-080-ROBUST_3-R5000-T3-U2-PD4000-6000,ROBUST_3,4000,6000,26,11,36,9,-171,3,36,-171
FP1-EXP0003-B-081-ROBUST_3-R5000-T3-U2-PD4000-6500,ROBUST_3,4000,6500,32,15,36,11,-171,4,154,-171
FP1-EXP0003-B-082-ROBUST_3-R5000-T3-U2-PD4000-9000,ROBUST_3,4000,9000,51,26,154,17,-171,3,196,-171
FP1-EXP0003-B-083-ROBUST_3-R5000-T3-U2-PD6000-6500,ROBUST_3,6000,6500,6,5,1020,2,-4368,2,137,-503
FP1-EXP0003-B-084-ROBUST_3-R5000-T3-U2-PD6000-9000,ROBUST_3,6000,9000,30,18,238,10,-835,2,587,-2269
FP1-EXP0003-B-085-ROBUST_4-R5000-T5-U9-PD1000-3500,ROBUST_4,1000,3500,43,26,173,11,297,2,162,176
FP1-EXP0003-B-086-ROBUST_4-R5000-T5-U9-PD1000-5500,ROBUST_4,1000,5500,53,32,201,16,331,3,173,331
FP1-EXP0003-B-087-ROBUST_4-R5000-T5-U9-PD1000-6000,ROBUST_4,1000,6000,53,32,201,16,331,3,201,390
FP1-EXP0003-B-088-ROBUST_4-R5000-T5-U9-PD1000-6500,ROBUST_4,1000,6500,54,33,238,17,390,3,201,390
FP1-EXP0003-B-089-ROBUST_4-R5000-T5-U9-PD1000-9000,ROBUST_4,1000,9000,58,36,238,19,390,2,217,391
FP1-EXP0003-B-090-ROBUST_4-R5000-T5-U9-PD2500-3500,ROBUST_4,2500,3500,11,9,123,4,22,3,123,297
FP1-EXP0003-B-091-ROBUST_4-R5000-T5-U9-PD2500-5500,ROBUST_4,2500,5500,26,18,123,11,517,4,162,176
FP1-EXP0003-B-092-ROBUST_4-R5000-T5-U9-PD2500-6000,ROBUST_4,2500,6000,26,18,123,11,517,4,162,424
FP1-EXP0003-B-093-ROBUST_4-R5000-T5-U9-PD2500-6500,ROBUST_4,2500,6500,28,20,123,12,517,4,217,454
FP1-EXP0003-B-094-ROBUST_4-R5000-T5-U9-PD2500-9000,ROBUST_4,2500,9000,35,26,196,16,392,3,238,390
FP1-EXP0003-B-095-ROBUST_4-R5000-T5-U9-PD3000-3500,ROBUST_4,3000,3500,5,4,0,3,22,2,180,22
FP1-EXP0003-B-096-ROBUST_4-R5000-T5-U9-PD3000-5500,ROBUST_4,3000,5500,21,13,238,10,22,4,61,22
FP1-EXP0003-B-097-ROBUST_4-R5000-T5-U9-PD3000-6000,ROBUST_4,3000,6000,21,13,238,10,22,4,180,269
FP1-EXP0003-B-098-ROBUST_4-R5000-T5-U9-PD3000-6500,ROBUST_4,3000,6500,23,15,238,11,517,4,180,130
FP1-EXP0003-B-099-ROBUST_4-R5000-T5-U9-PD3000-9000,ROBUST_4,3000,9000,31,22,238,16,238,3,196,392
FP1-EXP0003-B-100-ROBUST_4-R5000-T5-U9-PD4000-5500,ROBUST_4,4000,5500,13,6,0,5,-253,2,119,-115
FP1-EXP0003-B-101-ROBUST_4-R5000-T5-U9-PD4000-6000,ROBUST_4,4000,6000,14,7,0,6,-253,3,0,-171
FP1-EXP0003-B-102-ROBUST_4-R5000-T5-U9-PD4000-6500,ROBUST_4,4000,6500,16,9,0,7,-171,4,217,173
FP1-EXP0003-B-103-ROBUST_4-R5000-T5-U9-PD4000-9000,ROBUST_4,4000,9000,24,16,196,12,-171,3,238,238
FP1-EXP0003-B-104-ROBUST_4-R5000-T5-U9-PD6000-6500,ROBUST_4,6000,6500,3,3,1020,1,4120,2,119,33
FP1-EXP0003-B-105-ROBUST_4-R5000-T5-U9-PD6000-9000,ROBUST_4,6000,9000,12,10,238,6,238,2,608,1974
