policy_id,policy_fingerprint,family,timeout_origin,timeout_ms,timeout_seconds,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
SL40_T30S,d2a5f83b5b03b756abca3b8d64950e0b33f4e87d6c41affdaf71722fa58533ba,SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,,4000,,
SL40_T60S,694f50c0d4a067cda7355be579bb78eeb8b779012f244790e4afd236d35a7df9,SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,,4000,,
SL40_T120S,6a62b7dc38ac185a745c1428275b34397f0ecb2adb1b9625431614e4b6c1086a,SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,,4000,,
TP10_SL10_T15S,597250bad50afd21864a1a1a6537f782901e869dd20af08688cf95a10fe465fa,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,1000,,
TP10_SL10_T30S,69001371a4162819c18bbd87591827d487413647ab1cf05d300e2a8595379056,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,1000,,
TP10_SL10_T60S,78b33cd630ea4335d6aaa1bbafdb6c2157f3c68f91f5b57d0ae6de0e6a8eb63d,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,1000,,
TP10_SL10_T120S,caafa715e6c90c15d229ffc4b0975b088f77a85b4cd5b350a392bf6e3d417065,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,1000,,
TP10_SL15_T15S,efbe30a87d163132bd4777b1a8e28d99cf50240ba73f1203b775b440b6cfbc7e,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,1500,,
TP10_SL15_T30S,a1b989e221e9911c27e3ec633194fcec31a47c36dd32eb39b175d2ab632554e9,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,1500,,
TP10_SL15_T60S,b1717d043a734060a1998c9197ae99561cbaa183bc823ad599ef3e981bff2da1,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,1500,,
TP10_SL15_T120S,ac656621e20560ca7d82fe3b1cf53cb1b42d524e219b542c088c1c08306bd7e8,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,1500,,
TP10_SL20_T15S,1f2e6db16291e893ddc8f6c62bff5ba2ad14581261b632030ea5710453994bda,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,2000,,
TP10_SL20_T30S,103bde8ce86beb4c6e07984fcd43012eb0669aa80570b950381332ed17c70b7a,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,2000,,
TP10_SL20_T60S,79401f9d06318075550526d85faf2dd432f5f86451575418bbb655c096e11834,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,2000,,
TP10_SL20_T120S,7db7231dc493c627e69a5895b90309ea8a84dc2b779d2d99c76e279ce0382cf8,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,2000,,
TP10_SL25_T15S,2c39a38a4e68734b5046231c3ef15c7f4c19cd17adbd82171bb34481feb04a85,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,2500,,
TP10_SL25_T30S,95aca0bf7cbd53f6793b7f917535f8fa8ae8ab443ba737e3cacf5e23d09cdf68,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,2500,,
TP10_SL25_T60S,46195ea9fa45317011c6cfef3df7dbab2f2379f6137efef11654d4ecd002a759,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,2500,,
TP10_SL25_T120S,6c9eab64e4c15c00919ce9820b300b89097eaab45c9dc15fa7bdee68f57b8b3a,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,2500,,
TP10_SL30_T15S,88dca44cc28fbb632cbc0dc6abbd6af8439b7366493a6ae88ab8e3f170588ae6,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,3000,,
TP10_SL30_T30S,5523156c042a9a15d63a8c91315e26efbcea8760bb676b7ddc3314ae40c37bd9,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,3000,,
TP10_SL30_T60S,1d4b9b9e1478270d04c8e2777affe6576ab1c1d090d3a355b3662a1931d2d21d,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,3000,,
TP10_SL30_T120S,b4c225805b7bcfdc97a2886f31ce187e92df85e1d9411d321c30fbdc7b56e15a,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,3000,,
TP10_SL40_T15S,ee6c6c00ed9338ea44256af8e1710daa293c094dfde13f217c12609ebbff3078,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,4000,,
TP10_SL40_T30S,ce9c6b631f43347f3e309e9ea4e19d4d43d3c654687ed6a0ccd8ba485f8c0c92,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,4000,,
