track_id,actual_reason,window_seconds,threshold_bps,eligible_n,reached_n,reached_rate,median_time_to_threshold_ms,small_cell,eligibility_definition
FINAL-B,FALLBACK,60,5000,507,84,0.165680473373,18222.479,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,1000,76,19,0.250000000000,3574.076,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,1500,76,15,0.197368421053,3602.468,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,2000,76,13,0.171052631579,3609.834,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,2500,76,9,0.118421052632,3532.146,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,3000,76,7,0.092105263158,3532.146,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,4000,76,3,0.039473684211,3183.580,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,5,5000,76,2,0.026315789474,53.997,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,1000,81,24,0.296296296296,3609.834,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,1500,81,19,0.234567901235,3611.233,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,2000,81,17,0.209876543210,3626.678,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,2500,81,12,0.148148148148,3609.834,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,3000,81,10,0.123456790123,3609.834,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,4000,81,6,0.074074074074,3418.375,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,10,5000,81,4,0.049382716049,3191.092,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,1000,82,26,0.317073170732,3611.233,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,1500,82,23,0.280487804878,3775.928,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,2000,82,20,0.243902439024,3775.928,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,2500,82,13,0.158536585366,3611.233,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,3000,82,12,0.146341463415,3775.928,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,4000,82,8,0.097560975610,7312.980,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,15,5000,82,6,0.073170731707,7312.980,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,1000,82,36,0.439024390244,4909.551,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,1500,82,31,0.378048780488,5072.982,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,2000,82,29,0.353658536585,8859.020,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,2500,82,23,0.280487804878,9273.161,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,3000,82,20,0.243902439024,9273.161,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,4000,82,17,0.207317073171,20238.172,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,30,5000,82,15,0.182926829268,20956.581,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,1000,82,44,0.536585365854,7654.394,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,1500,82,40,0.487804878049,10171.568,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,2000,82,35,0.426829268293,10483.537,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,2500,82,27,0.329268292683,15609.481,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,3000,82,25,0.304878048780,20237.173,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,4000,82,19,0.231707317073,20956.581,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,45,5000,82,16,0.195121951220,20956.581,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,1000,82,48,0.585365853659,9210.967,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,1500,82,42,0.512195121951,10413.771,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,2000,82,37,0.451219512195,10622.640,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,2500,82,32,0.390243902439,20893.581,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,3000,82,29,0.353658536585,22905.472,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,4000,82,22,0.268292682927,23549.501,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-B,TRAIL,60,5000,82,18,0.219512195122,21824.870,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,1000,280,70,0.250000000000,345.545,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,1500,280,55,0.196428571429,2752.837,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,2000,280,37,0.132142857143,3295.603,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,2500,280,23,0.082142857143,292.571,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,3000,280,22,0.078571428571,2752.837,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,4000,280,11,0.039285714286,2390.443,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,5,5000,280,6,0.021428571429,3170.650,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,1000,321,99,0.308411214953,3333.561,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,1500,321,80,0.249221183801,3628.234,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,2000,321,57,0.177570093458,3745.561,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,2500,321,40,0.124610591900,3991.287,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,3000,321,39,0.121495327103,4165.691,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,4000,321,27,0.084112149533,7139.363,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,10,5000,321,15,0.046728971963,7074.999,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,1000,342,116,0.339181286550,3635.433,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,1500,342,97,0.283625730994,4150.878,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,2000,342,74,0.216374269006,4445.573,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,2500,342,55,0.160818713450,6526.865,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,3000,342,52,0.152046783626,6526.865,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,4000,342,40,0.116959064327,7569.067,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,15,5000,342,27,0.078947368421,9396.914,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
