policy_id,policy_fingerprint,family,positions,fills,unresolved,fill_rate,unresolved_rate,rejected_slippage_count,rejected_slippage_rate,no_causal_fill_count,no_causal_fill_rate,take_profit_count,stop_loss_count,trail_count,fallback_count,filled_take_profit_count,filled_stop_loss_count,filled_trail_count,filled_fallback_count,gross_execution_pnl_lamports,entry_explicit_cost_lamports,exit_explicit_cost_lamports,total_explicit_cost_lamports,net_pnl_lamports,expectancy_lamports_per_filled_trade,expectancy_denominator,wins,losses,breakevens,win_rate,average_winner_lamports,average_loser_lamports,profit_factor,mean_holding_time_us,median_holding_time_us,p90_holding_time_us,equity_label,final_realized_closed_pnl_lamports,peak_realized_closed_pnl_lamports,max_realized_closed_equity_drawdown_lamports,timeout_origin,timeout_ms,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
TP40_T15S,83211bf2c024f992955695d7c085428b10df8e102bcb763fb8e424ca960ccd47,TP_TIMEOUT,635,609,26,0.959055118110,0.040944881890,13,0.020472440945,13,0.020472440945,57,0,0,578,55,0,0,554,673088875,1434195000,1442608914,2876803914,-2203715039,-3618579.702791,FILLED,204,405,0,0.334975369458,24060984.666667,-17560878.792593,0.690148097627,27436984.894910,18714366,38810312,REALIZED_CLOSED_EQUITY,-2203715039,0,2266597976,ENTRY_FILL_CLOCK,15000,4000,,,
TP40_T30S,a3aa2f60599a1efd19c7f332ed3c172abf9d86ddfa9ac13f9432da66091b19c9,TP_TIMEOUT,635,598,37,0.941732283465,0.058267716535,16,0.025196850394,21,0.033070866142,88,0,0,547,86,0,0,512,1374496410,1408290000,1425471504,2833761504,-1459265094,-2440242.632107,FILLED,219,379,0,0.366220735786,31628084.698630,-22126162.646438,0.825984119360,41227120.439799,33315032,55303670,REALIZED_CLOSED_EQUITY,-1459265094,17368268,1486450493,ENTRY_FILL_CLOCK,30000,4000,,,
TP40_T60S,a27f259ddf26335b51d17d8d7cebf0156891b4dd785b0f44864f7aeac919c30e,TP_TIMEOUT,635,576,59,0.907086614173,0.092913385827,17,0.026771653543,42,0.066141732283,140,0,0,495,137,0,0,439,1666069617,1356480000,1377306148,2733786148,-1067716531,-1853674.532986,FILLED,240,336,0,0.416666666667,37209545.737500,-29755974.726190,0.893207068494,156227183.977431,63450131,91689384,REALIZED_CLOSED_EQUITY,-1067716531,82515326,1251192095,ENTRY_FILL_CLOCK,60000,4000,,,
TP40_T120S,858f9c7c33249c457a1c1765f86761ff07ec2dc09a8c957a450076355bb82bdd,TP_TIMEOUT,635,544,91,0.856692913386,0.143307086614,14,0.022047244094,77,0.121259842520,182,0,0,453,179,0,0,365,2307342445,1281120000,1309962045,2591082045,-283739600,-521580.147059,FILLED,249,295,0,0.457720588235,42206565.497992,-36587031.894915,0.973711200315,223177830.494485,123165868,176694246,REALIZED_CLOSED_EQUITY,-283739600,564747870,952408755,ENTRY_FILL_CLOCK,120000,4000,,,
TP50_T15S,a5531e25160c4fa897a2ea519eab7f0970aaa85afda497b6ee947e998ac1224b,TP_TIMEOUT,635,609,26,0.959055118110,0.040944881890,13,0.020472440945,13,0.020472440945,40,0,0,595,39,0,0,570,717111090,1434195000,1443159189,2877354189,-2160243099,-3547197.206897,FILLED,202,407,0,0.331691297209,24854926.658416,-17643583.007371,0.699169800162,27643807.057471,18828569,38792739,REALIZED_CLOSED_EQUITY,-2160243099,0,2242975883,ENTRY_FILL_CLOCK,15000,5000,,,
TP50_T30S,6cbab3efeb5dc687f1b4415884742d5b1ea878eb7152593e6bd3289b9a4b2bda,TP_TIMEOUT,635,599,36,0.943307086614,0.056692913386,15,0.023622047244,21,0.033070866142,69,0,0,566,68,0,0,531,1340915448,1410645000,1427406737,2838051737,-1497136289,-2499392.803005,FILLED,214,385,0,0.357262103506,32957475.598131,-22207885.888312,0.824897079115,41898906.223706,33429927,55545540,REALIZED_CLOSED_EQUITY,-1497136289,0,1497136289,ENTRY_FILL_CLOCK,30000,5000,,,
TP50_T60S,8e37d8d9cb4cd4afea470cc8c0846801ffebbbfc38b9c2627709882bdb638c03,TP_TIMEOUT,635,575,60,0.905511811024,0.094488188976,16,0.025196850394,44,0.069291338583,112,0,0,523,110,0,0,465,1765305940,1354125000,1376191595,2730316595,-965010655,-1678279.400000,FILLED,232,343,0,0.403478260870,40164684.301724,-29980225.693878,0.906156739059,158495182.041739,63738832,92389344,REALIZED_CLOSED_EQUITY,-965010655,74674544,1126294678,ENTRY_FILL_CLOCK,60000,5000,,,
TP50_T120S,82cdad0abff2a794de8c561428768712f31ca14af63cd5b86e216ca730844ab2,TP_TIMEOUT,635,540,95,0.850393700787,0.149606299213,13,0.020472440945,82,0.129133858268,149,0,0,486,147,0,0,393,1926029040,1271700000,1295775619,2567475619,-641446579,-1187864.035185,FILLED,229,311,0,0.424074074074,46674996.934498,-36430935.295820,0.943385225326,230040960.383333,123656956,179792430,REALIZED_CLOSED_EQUITY,-641446579,357160010,1091159922,ENTRY_FILL_CLOCK,120000,5000,,,
SL10_T15S,d5a27593f824b71a621a2a4e49d03e3799ae9aed42200f472bb145cf60795381,SL_TIMEOUT,635,602,33,0.948031496063,0.051968503937,22,0.034645669291,11,0.017322834646,0,252,0,383,0,242,0,360,812443241,1417710000,1427865828,2845575828,-2033132587,-3377296.656146,FILLED,174,428,0,0.289036544850,24374552.160920,-14659590.334112,0.675958899639,23846008.466777,17765046,36110985,REALIZED_CLOSED_EQUITY,-2033132587,0,2119261729,ENTRY_FILL_CLOCK,15000,,1000,,
SL10_T30S,0053f6f5a7bd43818ef261ff75f1e2fa9b50a978b877ddba895064c972d320b6,SL_TIMEOUT,635,602,33,0.948031496063,0.051968503937,17,0.026771653543,16,0.025196850394,0,318,0,317,0,306,0,296,264677272,1417710000,1421018763,2838728763,-2574051491,-4275833.041528,FILLED,169,433,0,0.280730897010,28745195.402367,-17163948.069284,0.653652432347,32911434.254153,31164422,51293849,REALIZED_CLOSED_EQUITY,-2574051491,0,2574051491,ENTRY_FILL_CLOCK,30000,,1000,,
SL10_T60S,f502622622ae4654bb79fbd771105c9cd8be108e1ad6933add3e0d7401dd9ac0,SL_TIMEOUT,635,598,37,0.941732283465,0.058267716535,16,0.025196850394,21,0.033070866142,0,387,0,248,0,372,0,226,655603997,1408290000,1416485336,2824775336,-2169171339,-3627376.821070,FILLED,159,439,0,0.265886287625,39663248.352201,-19306669.309795,0.744069538767,131968995.357860,41820306,78260565,REALIZED_CLOSED_EQUITY,-2169171339,208227773,2377399112,ENTRY_FILL_CLOCK,60000,,1000,,
