actor_id,actor_kind,dimension,segment,n,small_cell,fills,unresolved,fill_rate,net_pnl_lamports,expectancy_lamports_per_filled_trade,wins,losses,win_rate,equity_label
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,232,17,0.931726907631,-381649973,-1645042.987069,93,139,0.400862068966,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,63,6,0.913043478261,-58301086,-925414.063492,26,37,0.412698412698,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,153,6,0.962264150943,-966055641,-6314089.156863,51,102,0.333333333333,REALIZED_CLOSED_EQUITY
TP20_T30S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,149,9,0.943037974684,114498482,768446.187919,78,71,0.523489932886,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,193,14,0.932367149758,345732942,1791362.393782,102,91,0.528497409326,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,06:00-11:59,206,False,177,29,0.859223300971,-580558661,-3279992.435028,85,92,0.480225988701,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,12:00-17:59,93,False,88,5,0.946236559140,-153925083,-1749148.670455,39,49,0.443181818182,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,18:00-23:59,129,False,122,7,0.945736434109,-433666609,-3554644.336066,51,71,0.418032786885,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,176,14,0.926315789474,-537391797,-3053362.482955,91,85,0.517045454545,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,123,9,0.931818181818,-222258621,-1806980.658537,55,68,0.447154471545,REALIZED_CLOSED_EQUITY
