mint,price_identity,max_return_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_drawdown_depth_bps,max_3s_buys,max_3s_net_flow_reserve_ppm,broad_impulse_reached,broad_impulse_age_ms,broad_impulse_return_bps,broad_impulse_trades,broad_impulse_unique_buyers,broad_pullback_reached,broad_pullback_age_ms,broad_pullback_depth_at_activation_bps,max_pullback_depth_after_broad_impulse_bps,broad_proto_response_reached,broad_proto_response_age_ms,max_rebound_after_pullback_bps,max_3s_buys_after_pullback,max_3s_net_flow_reserve_ppm_after_pullback,max_reclaim_extension_after_proto_response_bps,data_valid_states,data_invalid_states
2FSpXwxfEmrruzHAZsBfMDjNcStzbXSMT7Uz1L7qpump,SOL_NATIVE,0,2,1,2646,1,85,False,,,,,False,,,,False,,,,,,2,0
2FYVhwF6f7tUDkTQMDMKuntqAR1dxQX6x9Hjj2eHpump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
2FfEbufT5Her6bRG13ihhH1Zhy2GM3K43GsBBxPKpump,SOL_NATIVE,0,1,0,0,0,-1827,False,,,,,False,,,,False,,,,,,1,0
2G2nzP4dZGo31btdopbpiQFfKFV1pDi1Hpb64FE2EE6h,SOL_NATIVE,1342,9,4,1053,3,88121,True,19,1321,2,2,True,19501,1053,1053,False,,0,0,0,,9,0
2GDL7x24mCSf9orxDv3xU3YynwY1VrRX3MHQPJGqpump,SOL_NATIVE,14245,36,16,6495,7,110221,True,43051,9269,12,2,True,117030,6495,6495,False,,,,,,36,0
2GUmrjdzU6KsGTfMNAYh7DdBgxvs1hdXpVtLeY5EamW6,SOL_NATIVE,144,2,1,0,1,7147,False,,,,,False,,,,False,,,,,,2,0
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,SOL_NATIVE,0,1,0,0,0,-2800,False,,,,,False,,,,False,,,,,,1,0
2Gkzxen3c9afxdX4Ace4zPskQwFNjG3nUvXoy22spump,SOL_NATIVE,0,1,0,0,0,-22696,False,,,,,False,,,,False,,,,,,1,0
2HFphJeTZtSfgkYQL5A8VfzciFtYKvSp4YY4tjMRpump,SOL_NATIVE,8981,45,7,9989,3,331518,True,108,1230,2,2,True,7507,3613,9989,True,278002,16463,3,331518,11079,45,0
2HHq1bqn6emXu4Ey4RNYuDZ1xu94nEWXUL9dJinXpump,SOL_NATIVE,0,1,1,0,1,16194,False,,,,,False,,,,False,,,,,,1,0
2J6L3s8jKtDop27TdjvWJXUim7mrybBiTvqtWB34pump,SOL_NATIVE,3723,5,4,5209,4,342905,True,1,1368,2,2,True,89653,5209,5209,False,,,,,,5,0
2JNacJJ6Jq3HtzXbeCDYz89X4YVcPo5h83iVoUYrpump,SOL_NATIVE,0,6,3,9717,1,1143,False,,,,,False,,,,False,,,,,,6,0
2JQC3ic6D4f3bxxUZX3F6YLXoupDEb6bGvPcQvaDpump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
2JbGQU9hj6taNRqPHGvniJ7tD2MSNVyuqFbWYSMfpump,SOL_NATIVE,0,1,0,0,0,-1363,False,,,,,False,,,,False,,,,,,1,0
2JcYgBQpD4T6KwNrywwzUpBka6pBeEEJsXPcYys7pump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
2Jix9meKSd22kmGupFcDP9pZhhGRK5DGFi6QbpZfpump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
2JjukK53nwk8ChyEg8MQncAikcswKAfAYwRLezzfpump,SOL_NATIVE,0,5,0,2773,0,-35752,False,,,,,False,,,,False,,,,,,5,0
