role,family,variant_id,tp_threshold_bps,fallback_time_stop_ms,fallback_role,clean_path_count,scored_count,unscored_count,tp_hit_count,tp_hit_rate_clean_paths,tp_hit_rate_scored,fallback_exit_count,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,tp_hit_delay_p50_ms,fallback_mark_age_p50_ms
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T5s,1500,5000,AGGRESSIVE_SENSITIVITY,229,206,23,50,0.2183406113537118,0.24271844660194175,156,-1067,-5,413,1428,1918,400.373786407767,0.7475728155339806,0.2524271844660194,2873,131,2026
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T5s,2000,5000,AGGRESSIVE_SENSITIVITY,229,206,23,41,0.17903930131004367,0.19902912621359223,165,-1077,-14,412,1341,2187,434.2135922330097,0.7427184466019418,0.25728155339805825,2918,275,2016
ROBUST_2,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T5s,3000,5000,AGGRESSIVE_SENSITIVITY,229,206,23,21,0.09170305676855896,0.10194174757281553,185,-1181,-41,406,1179,3003,414.52912621359224,0.7330097087378641,0.2669902912621359,2964,332,2009
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T15s,300,15000,PRIMARY_ROBUST_ANCHOR,211,208,3,156,0.7393364928909952,0.75,52,-1163,280,457,749,1857,249.89903846153845,0.8125,0.1875,2954,399,2373
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T15s,500,15000,PRIMARY_ROBUST_ANCHOR,211,208,3,139,0.6587677725118484,0.6682692307692307,69,-1449,101,624,899,1890,282.63461538461536,0.7788461538461539,0.22115384615384615,3069,955,2403
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T15s,1000,15000,PRIMARY_ROBUST_ANCHOR,211,208,3,118,0.5592417061611374,0.5673076923076923,90,-1554,-242,1038,1370,2187,416.74038461538464,0.7259615384615384,0.27403846153846156,6360,2733,2471
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T15s,1500,15000,PRIMARY_ROBUST_ANCHOR,211,208,3,87,0.41232227488151657,0.4182692307692308,121,-1969,-517,850,1857,2389,420.375,0.6826923076923077,0.3173076923076923,9669,2999,2437
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T15s,2000,15000,PRIMARY_ROBUST_ANCHOR,211,208,3,73,0.3459715639810427,0.35096153846153844,135,-2205,-588,567,2141,2542,429.72596153846155,0.6682692307692307,0.3317307692307692,10857,3113,2390
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T15s,3000,15000,PRIMARY_ROBUST_ANCHOR,211,208,3,48,0.22748815165876776,0.23076923076923078,160,-2312,-654,422,2299,3362,494.2644230769231,0.6442307692307693,0.3557692307692308,11824,4887,2373
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T5s,300,5000,AGGRESSIVE_SENSITIVITY,211,187,24,121,0.5734597156398105,0.6470588235294118,66,-1077,75,407,706,1435,230.14438502673798,0.7914438502673797,0.20855614973262032,955,22,2043
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T5s,500,5000,AGGRESSIVE_SENSITIVITY,211,187,24,107,0.5071090047393365,0.5721925133689839,80,-1209,50,553,794,1537,277.86096256684493,0.7807486631016043,0.2192513368983957,2432,40,2038
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T5s,1000,5000,AGGRESSIVE_SENSITIVITY,211,187,24,78,0.3696682464454976,0.41711229946524064,109,-1209,50,625,1246,1890,428.06951871657753,0.7754010695187166,0.22459893048128343,2796,265,2038
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T5s,1500,5000,AGGRESSIVE_SENSITIVITY,211,187,24,56,0.26540284360189575,0.2994652406417112,131,-1328,1,525,1624,2187,487.524064171123,0.7540106951871658,0.24598930481283424,2873,1101,2026
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T5s,2000,5000,AGGRESSIVE_SENSITIVITY,211,187,24,45,0.2132701421800948,0.24064171122994651,142,-1350,-5,523,1890,2389,509.29411764705884,0.7486631016042781,0.25133689839572193,2920,962,2016
ROBUST_3,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T5s,3000,5000,AGGRESSIVE_SENSITIVITY,211,187,24,24,0.11374407582938388,0.12834224598930483,163,-1368,-47,495,1407,3133,543.8395721925134,0.7379679144385026,0.2620320855614973,2974,1878,2012
