role,variant_id,variant_role,fallback_ms,tp_bps,trail_activation_bps,trail_giveback_bps,hard_stop_bps,clean_path_count,scored_count,unscored_count,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,activation_delay_p50_ms,fallback_mark_age_p50_ms,exit_FALLBACK,exit_HARD_STOP,exit_TAKE_PROFIT,exit_TRAIL
ROBUST_1,TP10_ACT05_GB03_SL10_T15,THREE_COMPONENT_INTERACTION,15000,1000,500,300,-1000,203,200,3,-1185,-264,442,1141,1484,366.115,0.695,0.305,3344,36,2715,51,35,87,27
ROBUST_1,SENS_TP20_T5,T5_SENSITIVITY_REFERENCE,5000,2000,,,,203,183,20,-965,18,522,1591,2187,530.983606557377,0.7704918032786885,0.22950819672131148,2926,,2012,145,0,38,0
ROBUST_2,REF_T15,REFERENCE,15000,,,,,229,226,3,-2312,-752,229,1227,2960,132.61946902654867,0.588495575221239,0.41150442477876104,13030,,1954,226,0,0,0
ROBUST_2,E3_TP10_T15,E3_PRIMARY_REFERENCE,15000,1000,,,,229,226,3,-1454,-345,704,1206,1557,233.50884955752213,0.6769911504424779,0.3230088495575221,7949,,2379,116,0,110,0
ROBUST_2,E4_ACT10_GB03_T15,E4_PRIMARY_REFERENCE,15000,,1000,300,,229,226,3,-1454,-345,546,1348,2729,461.8628318584071,0.6769911504424779,0.3230088495575221,10857,2457,2546,146,0,0,80
ROBUST_2,TP10_ACT05_GB03_T15,TP_TRAIL_INTERACTION_A,15000,1000,500,300,,229,226,3,-1355,-288,442,1165,1506,219.22566371681415,0.6858407079646017,0.3141592920353982,6152,72,2373,94,0,96,36
ROBUST_2,TP15_ACT10_GB03_T15,TP_TRAIL_INTERACTION_B,15000,1500,1000,300,,229,226,3,-1454,-345,554,1601,2002,330.9424778761062,0.6769911504424779,0.3230088495575221,8901,2457,2546,131,0,72,23
ROBUST_2,TP10_SL10_T15,TP_RISK_CONTROL_INTERACTION,15000,1000,,,-1000,229,226,3,-1328,-752,412,1162,1455,241.2920353982301,0.6238938053097345,0.37610619469026546,5564,,2715,72,54,100,0
ROBUST_2,ACT10_GB03_SL10_T15,TRAIL_RISK_CONTROL_INTERACTION,15000,,1000,300,-1000,229,226,3,-1328,-752,362,1244,2700,463.929203539823,0.6238938053097345,0.37610619469026546,8218,839,2715,101,54,0,71
ROBUST_2,TP10_ACT05_GB03_SL10_T15,THREE_COMPONENT_INTERACTION,15000,1000,500,300,-1000,229,226,3,-1320,-496,323,1124,1451,229.95575221238937,0.6371681415929203,0.36283185840707965,3353,38,3091,56,49,87,34
ROBUST_2,SENS_TP20_T5,T5_SENSITIVITY_REFERENCE,5000,2000,,,,229,206,23,-1077,-14,412,1341,2187,434.2135922330097,0.7427184466019418,0.25728155339805825,2918,,2016,165,0,41,0
ROBUST_3,REF_T15,REFERENCE,15000,,,,,211,208,3,-3912,-1048,280,1341,3133,160.32692307692307,0.5913461538461539,0.40865384615384615,12931,,2063,208,0,0,0
ROBUST_3,E3_TP10_T15,E3_PRIMARY_REFERENCE,15000,1000,,,,211,208,3,-1554,-242,1038,1370,2187,416.74038461538464,0.7259615384615384,0.27403846153846156,6360,,2471,90,0,118,0
ROBUST_3,E4_ACT10_GB03_T15,E4_PRIMARY_REFERENCE,15000,,1000,300,,211,208,3,-1659,-345,692,1499,2960,503.8798076923077,0.7019230769230769,0.2980769230769231,10596,2733,2613,120,0,0,88
ROBUST_3,TP10_ACT05_GB03_T15,TP_TRAIL_INTERACTION_A,15000,1000,500,300,,211,208,3,-1454,-101,1012,1370,2187,399.375,0.7403846153846154,0.25961538461538464,5804,955,2403,74,0,107,27
ROBUST_3,TP15_ACT10_GB03_T15,TP_TRAIL_INTERACTION_B,15000,1500,1000,300,,211,208,3,-1624,-264,806,1732,2388,489.0048076923077,0.7163461538461539,0.28365384615384615,8645,2733,2613,104,0,81,23
ROBUST_3,TP10_SL10_T15,TP_RISK_CONTROL_INTERACTION,15000,1000,,,-1000,211,208,3,-1502,-654,1012,1319,2146,378.77884615384613,0.6682692307692307,0.3317307692307692,3344,,3091,53,48,107,0
ROBUST_3,ACT10_GB03_SL10_T15,TRAIL_RISK_CONTROL_INTERACTION,15000,,1000,300,-1000,211,208,3,-1655,-1014,539,1380,2878,481.375,0.6442307692307693,0.3557692307692308,7568,2681,3091,81,52,0,75
ROBUST_3,TP10_ACT05_GB03_SL10_T15,THREE_COMPONENT_INTERACTION,15000,1000,500,300,-1000,211,208,3,-1502,-594,503,1271,2146,354.91346153846155,0.6826923076923077,0.3173076923076923,3200,297,3334,42,46,96,24
ROBUST_3,SENS_TP20_T5,T5_SENSITIVITY_REFERENCE,5000,2000,,,,211,187,24,-1350,-5,523,1890,2389,509.29411764705884,0.7486631016042781,0.25133689839572193,2920,,2016,142,0,45,0
