mint,price_path_class,price_identity,flow_compatibility,flow_identity_conflict,strategy_error,strategy_final_state,strategy_candidate_compat_only,since_t0_trades,since_t0_sol_buy_lamports,since_t0_sol_sell_lamports,since_t0_quote_buy_raw,since_t0_quote_sell_raw,since_t0_net_flow_raw,since_t0_net_flow_reserve_ppm,sol_legacy_parity
BpTfFWohNzK5ksrNNGb2iUNw7HQXfL5JT62r9ZHRpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,7400438,0,7400438,-7400438,-241,True
BpV1vGpucoMR6LVFehtQQpmWNvKv73C5MKRFzszzpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,12856331,0,12856331,0,12856331,428,True
BpkPJvqwpfh9fyzxgWBqbsdji4PJMckMd5dz16obpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,0,847249704,0,847249704,-847249704,-38086,True
BpqDmEYNCsCcEW6EYqqRStpr6d1CpNvfWyQq4R7qpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,4,5000000000,455895997,5000000000,455895997,4544104003,135007,True
BprzdEi6ENbXHukVLrNE6KpJa6NeZkouzE2Fwzsk1gKz,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,430015666,0,430015666,-430015666,-14334,True
BpxrzX73eabdCcie253yZXq28A9vdFzY4WMq8cbKyxTD,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,8,2088888882,1269703342,2088888882,1269703342,819185540,25991,True
Bq3Pj3SQVoGVqkWHvoagGNEPrR7MH2jV7mHGi8AApump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,3839370504,0,3839370504,-3839370504,-123457,True
Bq5fNVCRtWMurqqSfuHrxu5GLkmCGKWj9W1DsMKrpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,53367767,0,53367767,-53367767,-1779,True
BqSVedE3zot4tHwWNeAp6T5Q5XwrJC3MT2mjHi1QQrD8,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,3,987654320,119406597,987654320,119406597,868247723,27167,True
BrUrS9wgscV1hJQSzwwNR1VdA2ee344MRfSv1uzHpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,98915674,0,98915674,-98915674,-3297,True
